"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10547","testGetDataUnitSchema","Мультибраузерное тестирование","Tue May 26 06:04:56 UTC 2026","broken","Tue May 26 06:05:06 UTC 2026","tests.GettingAggregateDataLoadTimeTest","Браузер Chrome","tests.GettingAggregateDataLoadTimeTest","testGetDataUnitSchema"
"Клик по лого на странице Сменить пароль ","361","testClickLogo","Мультибраузерное тестирование","Tue May 26 06:21:58 UTC 2026","passed","Tue May 26 06:21:58 UTC 2026","tests.SetNewPasswordTest","Браузер Edge","tests.SetNewPasswordTest","testClickLogo"
"1. Авторизовался в приложении
2. Выбрал временной интервал от 01-01-2020 23:00 до 07-10-2025 00:00
3. Перешел к агрегату БКПРУ-4/СОФ/РВК ""Б""/Насосное оборудование/4.2-2G28
4. Модуль Схема
5. 4 окна в рабочей области загрузились
6. Каждое из 4 окон растянулось на всю рабочую область","10538","testUnitDashboardDownloads","Мультибраузерное тестирование","Tue May 26 06:08:13 UTC 2026","broken","Tue May 26 06:08:24 UTC 2026","tests.SchemaTest","Браузер Chrome","tests.SchemaTest","testUnitDashboardDownloads"
"Попытка SQL-injection в поля логина/пароля не должна приводить к успешной аутентификации","1517","testSqlInjectionDoesNotBypassAuthentication","Мультибраузерное тестирование","Tue May 26 06:08:31 UTC 2026","passed","Tue May 26 06:08:33 UTC 2026","tests.SecuritySqlInjectionTest","Браузер Chrome","tests.SecuritySqlInjectionTest","testSqlInjectionDoesNotBypassAuthentication"
"1. Авторизовался в приложении
2. Выбрал временной интервал от 01-01-2020 23:00 до 07-10-2025 00:00
3. Перешел к агрегату БКПРУ-4/СОФ/РВК ""Б""/Насосное оборудование/4.2-2G28
4. Модуль Схема окно Состояние и прогнозирование
5. Меняю вид отображения на Шкала","10507","testStatusForecastingScaleWindowCoversEntireWorkArea","Мультибраузерное тестирование","Tue May 26 06:20:20 UTC 2026","broken","Tue May 26 06:20:30 UTC 2026","tests.SchemaTest","Браузер Edge","tests.SchemaTest","testStatusForecastingScaleWindowCoversEntireWorkArea"
"Проверить, что можно выбрать интервал 'За сутки'","10508","testSelectFullDay","Мультибраузерное тестирование","Tue May 26 06:38:29 UTC 2026","broken","Tue May 26 06:38:39 UTC 2026","tests.TimeIntervalPannelTest","Браузер Yandex","tests.TimeIntervalPannelTest","testSelectFullDay"
"Проверить, что по умолчанию указывается временной интервал 'За смену (8 часов)'","10517","testDefaultTimeIntervalIsWorkDay","Мультибраузерное тестирование","Tue May 26 06:10:39 UTC 2026","broken","Tue May 26 06:10:50 UTC 2026","tests.TimeIntervalPannelTest","Браузер Chrome","tests.TimeIntervalPannelTest","testDefaultTimeIntervalIsWorkDay"
"Текущий пароль указан неверно при смене пароля","1549","testCurrentPasswordIncorrect","Мультибраузерное тестирование","Tue May 26 06:34:27 UTC 2026","failed","Tue May 26 06:34:29 UTC 2026","tests.SetNewPasswordTest","Браузер Yandex","tests.SetNewPasswordTest","testCurrentPasswordIncorrect"
"1. Авторизовался в приложении
2. Выбрал временной интервал от 01-01-2020 23:00 до 07-10-2025 00:00
3. Перешел к агрегату БКПРУ-4/СОФ/РВК ""Б""/Насосное оборудование/4.2-2G28
4. Модуль Схема окно Данные измерений  тип измерения Тренд вид График
5. Выбран параметр Оборотные
6. Выбран параметр Оборотные и один Параметры
7. Выбрано 5 однотипных параметров Замеры
8. Выбрано 3 не однотипных параметра Замеры","10540","testMeasurementDataGraphParametersTrend","Мультибраузерное тестирование","Tue May 26 06:06:34 UTC 2026","broken","Tue May 26 06:06:45 UTC 2026","tests.SchemaTest","Браузер Chrome","tests.SchemaTest","testMeasurementDataGraphParametersTrend"
"Переключения языка (RU/EN)","1613","testSwitchLanguage","Мультибраузерное тестирование","Tue May 26 06:16:41 UTC 2026","passed","Tue May 26 06:16:43 UTC 2026","tests.AuthLoginTest","Браузер Edge","tests.AuthLoginTest","testSwitchLanguage"
"Вход с пустыми полями логина и пароля","1421","testLoginWithEmptyUsernameAndPassword","Мультибраузерное тестирование","Tue May 26 06:28:42 UTC 2026","passed","Tue May 26 06:28:44 UTC 2026","tests.AuthLoginTest","Браузер Yandex","tests.AuthLoginTest","testLoginWithEmptyUsernameAndPassword"
"","10525","testGetDataUnitSchema","Мультибраузерное тестирование","Tue May 26 06:17:50 UTC 2026","broken","Tue May 26 06:18:00 UTC 2026","tests.GettingAggregateDataLoadTimeTest","Браузер Edge","tests.GettingAggregateDataLoadTimeTest","testGetDataUnitSchema"
"Проверить, что можно выбрать интервал 'За смену (8 часов)'","10531","testSelectWorkDay","Мультибраузерное тестирование","Tue May 26 06:14:24 UTC 2026","broken","Tue May 26 06:14:34 UTC 2026","tests.TimeIntervalPannelTest","Браузер Chrome","tests.TimeIntervalPannelTest","testSelectWorkDay"
"Попытка отправки формы с пустыми полями при смене пароля","1525","testSubmittingFormWithEmptyFields","Мультибраузерное тестирование","Tue May 26 06:23:00 UTC 2026","passed","Tue May 26 06:23:02 UTC 2026","tests.SetNewPasswordTest","Браузер Edge","tests.SetNewPasswordTest","testSubmittingFormWithEmptyFields"
