"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17956","testGetDataUnitSchema","Мультибраузерное тестирование","Wed Mar 04 04:08:38 UTC 2026","passed","Wed Mar 04 04:08:56 UTC 2026","tests.GettingAggregateDataLoadTimeTest","Браузер Chrome","tests.GettingAggregateDataLoadTimeTest","testGetDataUnitSchema"
"Клик по лого на странице Сменить пароль ","414","testClickLogo","Мультибраузерное тестирование","Wed Mar 04 04:39:03 UTC 2026","passed","Wed Mar 04 04:39:03 UTC 2026","tests.SetNewPasswordTest","Браузер Edge","tests.SetNewPasswordTest","testClickLogo"
"","19272","testGetDataUnitSchema","Мультибраузерное тестирование","Wed Mar 04 04:31:02 UTC 2026","passed","Wed Mar 04 04:31:22 UTC 2026","tests.GettingAggregateDataLoadTimeTest","Браузер Edge","tests.GettingAggregateDataLoadTimeTest","testGetDataUnitSchema"
"Проверка поля Пароль на sql инъекцию на странице Логин","1508","testSqlInjectionFieldPassword","Мультибраузерное тестирование","Wed Mar 04 04:16:43 UTC 2026","passed","Wed Mar 04 04:16:44 UTC 2026","tests.SecuritySqlInjectionTest","Браузер Chrome","tests.SecuritySqlInjectionTest","testSqlInjectionFieldPassword"
"1. Авторизовался в приложении
2. Выбрал временной интервал от 01-01-2020 23:00 до 07-10-2025 00:00
3. В меню Оборудование кликнул Список фильтров
4. Ввел частичный путь нажал ОК
5. Заполнил все остальные поля нажал ОК","46877","testPartialPathAndFillOthersAndOk","Мультибраузерное тестирование","Wed Mar 04 04:21:36 UTC 2026","passed","Wed Mar 04 04:22:22 UTC 2026","tests.TimeIntervalPannelTest","Браузер Chrome","tests.TimeIntervalPannelTest","testPartialPathAndFillOthersAndOk"
"Проверить, что можно выбрать интервал 'За месяц'","13131","testSelectMonth","Мультибраузерное тестирование","Wed Mar 04 05:08:19 UTC 2026","passed","Wed Mar 04 05:08:32 UTC 2026","tests.TimeIntervalPannelTest","Браузер Yandex","tests.TimeIntervalPannelTest","testSelectMonth"
"Попытка отправки формы с пустыми полями при смене пароля","1649","testSubmittingFormWithEmptyFields","Мультибраузерное тестирование","Wed Mar 04 04:18:17 UTC 2026","passed","Wed Mar 04 04:18:19 UTC 2026","tests.SetNewPasswordTest","Браузер Chrome","tests.SetNewPasswordTest","testSubmittingFormWithEmptyFields"
"Проверка видимости пароля (иконка 'глаз') для поля Новый пароль на странице Cменить пароль","2817","testCheckingNewPasswordVisibility","Мультибраузерное тестирование","Wed Mar 04 04:38:53 UTC 2026","passed","Wed Mar 04 04:38:56 UTC 2026","tests.SetNewPasswordTest","Браузер Edge","tests.SetNewPasswordTest","testCheckingNewPasswordVisibility"
"Текущий пароль указан неверно при смене пароля","1668","testCurrentPasswordIncorrect","Мультибраузерное тестирование","Wed Mar 04 05:00:48 UTC 2026","passed","Wed Mar 04 05:00:50 UTC 2026","tests.SetNewPasswordTest","Браузер Yandex","tests.SetNewPasswordTest","testCurrentPasswordIncorrect"
"1. Авторизовался в приложении
2. Выбрал временной интервал от 01-01-2020 23:00 до 07-10-2025 00:00
3. В меню Оборудование кликнул Список фильтров
4. Ввел частичный путь нажал ОК
5. Заполнил все остальные поля нажал ОК","44875","testPartialPathAndFillOthersAndOk","Мультибраузерное тестирование","Wed Mar 04 04:42:28 UTC 2026","passed","Wed Mar 04 04:43:13 UTC 2026","tests.TimeIntervalPannelTest","Браузер Edge","tests.TimeIntervalPannelTest","testPartialPathAndFillOthersAndOk"
"","19198","testGetDataUnitSchema","Мультибраузерное тестирование","Wed Mar 04 04:30:08 UTC 2026","passed","Wed Mar 04 04:30:28 UTC 2026","tests.GettingAggregateDataLoadTimeTest","Браузер Edge","tests.GettingAggregateDataLoadTimeTest","testGetDataUnitSchema"
"Проверка видимости пароля (иконка 'глаз') для поля Новый пароль на странице Cменить пароль","2856","testCheckingNewPasswordVisibility","Мультибраузерное тестирование","Wed Mar 04 04:17:03 UTC 2026","passed","Wed Mar 04 04:17:06 UTC 2026","tests.SetNewPasswordTest","Браузер Chrome","tests.SetNewPasswordTest","testCheckingNewPasswordVisibility"
"","22424","testGetDataUnitSchema","Мультибраузерное тестирование","Wed Mar 04 04:29:39 UTC 2026","passed","Wed Mar 04 04:30:01 UTC 2026","tests.GettingAggregateDataLoadTimeTest","Браузер Edge","tests.GettingAggregateDataLoadTimeTest","testGetDataUnitSchema"
"1. Авторизовался в приложении
2. Выбрал временной интервал от 01-01-2020 23:00 до 07-10-2025 00:00
3. Перешел к агрегату БКПРУ-4/СОФ/РВК ""Б""/Насосное оборудование/4.2-2G08
4. Модуль Схема окно Данные измерений вид График
5. Выбран параметр Замеры тип измерения Спектр
6. Выбран параметр Замеры тип измерения Форма сигнала
7. Выбран параметр Замеры тип измерения Тренд
8. Выбран параметр Замеры тип измерения Орбита","79309","testMeasurementDataGraphParametersMeasurementType","Мультибраузерное тестирование","Wed Mar 04 04:10:01 UTC 2026","passed","Wed Mar 04 04:11:20 UTC 2026","tests.SchemaTest","Браузер Chrome","tests.SchemaTest","testMeasurementDataGraphParametersMeasurementType"
"Проверить, что можно выбрать интервал 'За смену (8 часов)'","17915","testSelectWorkDay","Мультибраузерное тестирование","Wed Mar 04 04:25:51 UTC 2026","passed","Wed Mar 04 04:26:09 UTC 2026","tests.TimeIntervalPannelTest","Браузер Chrome","tests.TimeIntervalPannelTest","testSelectWorkDay"
