"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверить, что по умолчанию указывается временной интервал 'За смену (8 часов)'","5653","testDefaultTimeIntervalIsWorkDay","Мультибраузерное тестирование","Fri Jan 16 15:50:29 UTC 2026","passed","Fri Jan 16 15:50:35 UTC 2026","tests.TimeIntervalPannelTest","Браузер Chrome","tests.TimeIntervalPannelTest","testDefaultTimeIntervalIsWorkDay"
"Клик по лого на странице Login","176","testClickLogo","Мультибраузерное тестирование","Fri Jan 16 16:19:36 UTC 2026","passed","Fri Jan 16 16:19:36 UTC 2026","tests.AuthLoginTest","Браузер Yandex","tests.AuthLoginTest","testClickLogo"
"","21029","testGetDataUnitSchema","Мультибраузерное тестирование","Fri Jan 16 15:38:32 UTC 2026","passed","Fri Jan 16 15:38:53 UTC 2026","tests.GettingAggregateDataLoadTimeTest","Браузер Chrome","tests.GettingAggregateDataLoadTimeTest","testGetDataUnitSchema"
"Клик по лого на странице Login","193","testClickLogo","Мультибраузерное тестирование","Fri Jan 16 15:58:31 UTC 2026","passed","Fri Jan 16 15:58:31 UTC 2026","tests.AuthLoginTest","Браузер Edge","tests.AuthLoginTest","testClickLogo"
"1. Авторизовался в приложении
2. Выбрал временной интервал от 01-01-2020 23:00 до 07-10-2025 00:00
3. В меню Оборудование кликнул Список фильтров
4. Ввел частичный путь нажал ОК
5. Заполнил все остальные поля нажал ОК","43773","testPartialPathAndFillOthersAndOk","Мультибраузерное тестирование","Fri Jan 16 16:12:38 UTC 2026","broken","Fri Jan 16 16:13:22 UTC 2026","tests.TimeIntervalPannelTest","Браузер Edge","tests.TimeIntervalPannelTest","testPartialPathAndFillOthersAndOk"
"Вход с валидными логином и паролем","6366","testLoginWithValidUsernameAndPassword","Мультибраузерное тестирование","Fri Jan 16 16:20:20 UTC 2026","passed","Fri Jan 16 16:20:27 UTC 2026","tests.AuthLoginTest","Браузер Yandex","tests.AuthLoginTest","testLoginWithValidUsernameAndPassword"
"Текущий пароль указан неверно при смене пароля","1584","testCurrentPasswordIncorrect","Мультибраузерное тестирование","Fri Jan 16 15:48:56 UTC 2026","passed","Fri Jan 16 15:48:58 UTC 2026","tests.SetNewPasswordTest","Браузер Chrome","tests.SetNewPasswordTest","testCurrentPasswordIncorrect"
"","18925","testGetDataUnitSchema","Мультибраузерное тестирование","Fri Jan 16 16:22:11 UTC 2026","passed","Fri Jan 16 16:22:30 UTC 2026","tests.GettingAggregateDataLoadTimeTest","Браузер Yandex","tests.GettingAggregateDataLoadTimeTest","testGetDataUnitSchema"
"Вход с валидными логином и паролем","5840","testLoginWithValidUsernameAndPassword","Мультибраузерное тестирование","Fri Jan 16 15:59:09 UTC 2026","passed","Fri Jan 16 15:59:15 UTC 2026","tests.AuthLoginTest","Браузер Edge","tests.AuthLoginTest","testLoginWithValidUsernameAndPassword"
"Попытка отправки формы с пустыми полями при смене пароля","1565","testSubmittingFormWithEmptyFields","Мультибраузерное тестирование","Fri Jan 16 16:11:18 UTC 2026","passed","Fri Jan 16 16:11:19 UTC 2026","tests.SetNewPasswordTest","Браузер Edge","tests.SetNewPasswordTest","testSubmittingFormWithEmptyFields"
"Проверка работы пользовательского временного интервала","18536","testReceivingDataForShiftEvents","Мультибраузерное тестирование","Fri Jan 16 16:16:06 UTC 2026","passed","Fri Jan 16 16:16:24 UTC 2026","tests.TimeIntervalPannelTest","Браузер Edge","tests.TimeIntervalPannelTest","testReceivingDataForShiftEvents"
"1. Авторизовался в приложении
2. Выбрал временной интервал от 01-01-2020 23:00 до 07-10-2025 00:00
3. Перешел к станции БКПРУ-4
4. Выбрал второй фильтр
5. Выбрал третий фильтр
6. Выбрал первый фильтр","21742","testFilterButton","Мультибраузерное тестирование","Fri Jan 16 16:33:31 UTC 2026","failed","Fri Jan 16 16:33:53 UTC 2026","tests.TimeIntervalPannelTest","Браузер Yandex","tests.TimeIntervalPannelTest","testFilterButton"
"1. Авторизовался в приложении
2. Выбрал временной интервал от 01-01-2020 23:00 до 07-10-2025 00:00
3. Перешел к агрегату БКПРУ-4/СОФ/РВК ""Б""/Насосное оборудование/4.2-2G28
4. Модуль Схема
5. 4 окна в рабочей области загрузились
6. Каждое из 4 окон растянулось на всю рабочую область","31135","testUnitDashboardDownloads","Мультибраузерное тестирование","Fri Jan 16 15:47:19 UTC 2026","passed","Fri Jan 16 15:47:50 UTC 2026","tests.SchemaTest","Браузер Chrome","tests.SchemaTest","testUnitDashboardDownloads"
"1. Авторизовался в приложении
2. Выбрал временной интервал от 01-01-2020 23:00 до 07-10-2025 00:00
3. Перешел к агрегату БКПРУ-4/СОФ/РВК ""Б""/Насосное оборудование/4.2-2G28
4. Модуль Схема окно Состояние и прогнозирование
5. Меняю вид отображения на Шкала","25738","testStatusForecastingScaleWindowCoversEntireWorkArea","Мультибраузерное тестирование","Fri Jan 16 16:28:44 UTC 2026","passed","Fri Jan 16 16:29:09 UTC 2026","tests.SchemaTest","Браузер Yandex","tests.SchemaTest","testStatusForecastingScaleWindowCoversEntireWorkArea"
