"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Попытка SQL-injection в поля логина/пароля не должна приводить к успешной аутентификации","1451","testSqlInjectionDoesNotBypassAuthentication","Мультибраузерное тестирование","2026-08-26","failed","2026-08-26","tests.SecuritySqlInjectionTest","Браузер Yandex","tests.SecuritySqlInjectionTest","testSqlInjectionDoesNotBypassAuthentication"
"","10509","testGetDataUnitSchema","Мультибраузерное тестирование","2026-08-26","broken","2026-08-26","tests.GettingAggregateDataLoadTimeTest","Браузер Chrome","tests.GettingAggregateDataLoadTimeTest","testGetDataUnitSchema"
"1. Авторизовался в приложении
2. Выбрал временной интервал от 01-01-2020 23:00 до 07-10-2025 00:00
3. Перешел к агрегату БКПРУ-4/СОФ/РВК ""Б""/Насосное оборудование/4.2-2G28
4. Модуль Схема окно Данные измерений тип измерения Тренд вид Таблица
5. Выбран параметр Оборотные перехожу с График на Таблица
6. Выбран параметр Оборотные и параметр Параметры перехожу с График на Таблица
7. Нахожусь на Таблица, выбираю один из Замеры, перехожу на График
8. Перехожу на Таблица, выбираю один из Замеры с несколькими точками, перехожу на График","10499","testMeasurementDataTableParametersTrend","Мультибраузерное тестирование","2026-08-26","broken","2026-08-26","tests.SchemaTest","Браузер Edge","tests.SchemaTest","testMeasurementDataTableParametersTrend"
"Переключение языка на форме смены пароля","1623","testSwitchLanguage","Мультибраузерное тестирование","2026-08-26","passed","2026-08-26","tests.SetNewPasswordTest","Браузер Edge","tests.SetNewPasswordTest","testSwitchLanguage"
"Новый пароль не соответствует требованиям (например, без цифры или спецсимвола) при смене пароля","828","testNewPasswordNotMeetRequirements","Мультибраузерное тестирование","2026-08-26","passed","2026-08-26","tests.SetNewPasswordTest","Браузер Yandex","tests.SetNewPasswordTest","testNewPasswordNotMeetRequirements"
"Ввод неверного логина или пароля","1389","testEnterIncorrectLoginOrPassword","Мультибраузерное тестирование","2026-08-26","failed","2026-08-26","tests.AuthLoginTest","Браузер Edge","tests.AuthLoginTest","testEnterIncorrectLoginOrPassword"
"Проверка поля Пароль на sql инъекцию на странице Логин","1414","testSqlInjectionFieldPassword","Мультибраузерное тестирование","2026-08-26","passed","2026-08-26","tests.SecuritySqlInjectionTest","Браузер Chrome","tests.SecuritySqlInjectionTest","testSqlInjectionFieldPassword"
"1. Авторизовался в приложении
2. Выбрал временной интервал от 01-01-2020 23:00 до 07-10-2025 00:00
3. В меню Оборудование кликнул Список фильтров
4. Ввел частичный путь нажал ОК
5. Заполнил все остальные поля нажал ОК","10472","testPartialPathAndFillOthersAndOk","Мультибраузерное тестирование","2026-08-26","broken","2026-08-26","tests.TimeIntervalPannelTest","Браузер Edge","tests.TimeIntervalPannelTest","testPartialPathAndFillOthersAndOk"
"1. Авторизовался в приложении
2. Выбрал временной интервал от 01-01-2020 23:00 до 07-10-2025 00:00
3. Перешел к станции БКПРУ-4
4. Модуль Схема
5. Данные отображаются Диаграмма
6. Данные отображаются Схема
7. Перешел к станции СКРУ-3
4. Модуль Схема
5. Данные отображаются Диаграмма
6. Данные отображаются Схема","10476","testStationDashboardDownloads","Мультибраузерное тестирование","2026-08-26","broken","2026-08-26","tests.SchemaTest","Браузер Yandex","tests.SchemaTest","testStationDashboardDownloads"
"Введенные данные сохраняются в значение поля","373","testEnteredDataSavedFieldValue","Мультибраузерное тестирование","2026-08-26","passed","2026-08-26","tests.AuthLoginTest","Браузер Yandex","tests.AuthLoginTest","testEnteredDataSavedFieldValue"
"Проверка видимости пароля (иконка 'глаз') для поля Новый пароль на странице Cменить пароль","2665","testCheckingNewPasswordVisibility","Мультибраузерное тестирование","2026-08-26","passed","2026-08-26","tests.SetNewPasswordTest","Браузер Chrome","tests.SetNewPasswordTest","testCheckingNewPasswordVisibility"
"","10477","testGetDataUnitSchema","Мультибраузерное тестирование","2026-08-26","broken","2026-08-26","tests.GettingAggregateDataLoadTimeTest","Браузер Edge","tests.GettingAggregateDataLoadTimeTest","testGetDataUnitSchema"
"Проверка видимости пароля (иконка 'глаз') для поля Новый пароль на странице Cменить пароль","2674","testCheckingNewPasswordVisibility","Мультибраузерное тестирование","2026-08-26","passed","2026-08-26","tests.SetNewPasswordTest","Браузер Edge","tests.SetNewPasswordTest","testCheckingNewPasswordVisibility"
"Проверка работы пользовательского временного интервала","10478","testReceivingDataForShiftEvents","Мультибраузерное тестирование","2026-08-26","broken","2026-08-26","tests.TimeIntervalPannelTest","Браузер Yandex","tests.TimeIntervalPannelTest","testReceivingDataForShiftEvents"
"","10485","testGetDataUnitSchema","Мультибраузерное тестирование","2026-08-26","broken","2026-08-26","tests.GettingAggregateDataLoadTimeTest","Браузер Edge","tests.GettingAggregateDataLoadTimeTest","testGetDataUnitSchema"
"","10481","testGetDataUnitSchema","Мультибраузерное тестирование","2026-08-26","broken","2026-08-26","tests.GettingAggregateDataLoadTimeTest","Браузер Edge","tests.GettingAggregateDataLoadTimeTest","testGetDataUnitSchema"
"1. Авторизовался в приложении
2. Выбрал временной интервал от 01-01-2020 23:00 до 07-10-2025 00:00
3. Перешел к агрегату БКПРУ-4/СОФ/РВК ""Б""/Насосное оборудование/4.2-2G28
4. Модуль Схема окно Данные измерений  тип измерения Тренд вид График
5. Выбран параметр Оборотные
6. Выбран параметр Оборотные и один Параметры
7. Выбрано 5 однотипных параметров Замеры
8. Выбрано 3 не однотипных параметра Замеры","10489","testMeasurementDataGraphParametersTrend","Мультибраузерное тестирование","2026-08-26","broken","2026-08-26","tests.SchemaTest","Браузер Edge","tests.SchemaTest","testMeasurementDataGraphParametersTrend"
"Ввод неверного логина или пароля","1436","testEnterIncorrectLoginOrPassword","Мультибраузерное тестирование","2026-08-26","failed","2026-08-26","tests.AuthLoginTest","Браузер Chrome","tests.AuthLoginTest","testEnterIncorrectLoginOrPassword"
"Проверка видимости пароля (иконка 'глаз') на странице Login","2658","testCheckingPasswordVisibility","Мультибраузерное тестирование","2026-08-26","passed","2026-08-26","tests.AuthLoginTest","Браузер Yandex","tests.AuthLoginTest","testCheckingPasswordVisibility"
"Переключения языка (RU/EN)","1500","testSwitchLanguage","Мультибраузерное тестирование","2026-08-26","passed","2026-08-26","tests.AuthLoginTest","Браузер Edge","tests.AuthLoginTest","testSwitchLanguage"
"1. Авторизовался в приложении
2. Выбрал временной интервал от 01-01-2020 23:00 до 07-10-2025 00:00
3. В меню Оборудование кликнул Список фильтров
4. Ввел частичный путь нажал ОК
5. Заполнил все остальные поля нажал ОК","10479","testPartialPathAndFillOthersAndOk","Мультибраузерное тестирование","2026-08-26","broken","2026-08-26","tests.TimeIntervalPannelTest","Браузер Edge","tests.TimeIntervalPannelTest","testPartialPathAndFillOthersAndOk"
"","10474","testGetDataUnitSchema","Мультибраузерное тестирование","2026-08-26","broken","2026-08-26","tests.GettingAggregateDataLoadTimeTest","Браузер Yandex","tests.GettingAggregateDataLoadTimeTest","testGetDataUnitSchema"
"Клик по лого на странице Login","214","testClickLogo","Мультибраузерное тестирование","2026-08-26","passed","2026-08-26","tests.AuthLoginTest","Браузер Yandex","tests.AuthLoginTest","testClickLogo"
"Текущий пароль указан неверно при смене пароля","1515","testCurrentPasswordIncorrect","Мультибраузерное тестирование","2026-08-26","failed","2026-08-26","tests.SetNewPasswordTest","Браузер Yandex","tests.SetNewPasswordTest","testCurrentPasswordIncorrect"
"Проверить, что по умолчанию указывается временной интервал 'За смену (8 часов)'","10465","testDefaultTimeIntervalIsWorkDay","Мультибраузерное тестирование","2026-08-26","broken","2026-08-26","tests.TimeIntervalPannelTest","Браузер Chrome","tests.TimeIntervalPannelTest","testDefaultTimeIntervalIsWorkDay"
"Переключения языка (RU/EN)","1574","testSwitchLanguage","Мультибраузерное тестирование","2026-08-26","passed","2026-08-26","tests.AuthLoginTest","Браузер Chrome","tests.AuthLoginTest","testSwitchLanguage"
"Проверка поля Пароль на sql инъекцию на странице Логин","1402","testSqlInjectionFieldPassword","Мультибраузерное тестирование","2026-08-26","passed","2026-08-26","tests.SecuritySqlInjectionTest","Браузер Yandex","tests.SecuritySqlInjectionTest","testSqlInjectionFieldPassword"
"1. Авторизовался в приложении
2. Выбрал временной интервал от 01-01-2020 23:00 до 07-10-2025 00:00
3. Перешел к станции БКПРУ-4
4. Выбрал второй фильтр
5. Выбрал третий фильтр
6. Выбрал первый фильтр","10495","testFilterButton","Мультибраузерное тестирование","2026-08-26","broken","2026-08-26","tests.TimeIntervalPannelTest","Браузер Edge","tests.TimeIntervalPannelTest","testFilterButton"
"Проверить, что можно выбрать интервал 'За выбранный интервал'","10479","testSelectCustomRange","Мультибраузерное тестирование","2026-08-26","broken","2026-08-26","tests.TimeIntervalPannelTest","Браузер Chrome","tests.TimeIntervalPannelTest","testSelectCustomRange"
"Введенные данные сохраняются в значение поля","380","testEnteredDataSavedFieldValue","Мультибраузерное тестирование","2026-08-26","passed","2026-08-26","tests.AuthLoginTest","Браузер Edge","tests.AuthLoginTest","testEnteredDataSavedFieldValue"
"","10521","testGetDataUnitSchema","Мультибраузерное тестирование","2026-08-26","broken","2026-08-26","tests.GettingAggregateDataLoadTimeTest","Браузер Chrome","tests.GettingAggregateDataLoadTimeTest","testGetDataUnitSchema"
"1. Авторизовался в приложении
2. Выбрал временной интервал от 01-01-2020 23:00 до 07-10-2025 00:00
3. Перешел к агрегату БКПРУ-4/СОФ/РВК ""Б""/Насосное оборудование/4.2-2G28
4. Модуль Схема окно Состояние и прогнозирование
5. Меняю вид отображения на Шкала","10501","testStatusForecastingScaleWindowCoversEntireWorkArea","Мультибраузерное тестирование","2026-08-26","broken","2026-08-26","tests.SchemaTest","Браузер Chrome","tests.SchemaTest","testStatusForecastingScaleWindowCoversEntireWorkArea"
"Повторное использование пароля при смене пароля","1592","testPasswordReuse","Мультибраузерное тестирование","2026-08-26","failed","2026-08-26","tests.SetNewPasswordTest","Браузер Edge","tests.SetNewPasswordTest","testPasswordReuse"
"1. Авторизовался в приложении
2. Выбрал временной интервал от 01-01-2020 23:00 до 07-10-2025 00:00
3. В меню Оборудование кликнул Список фильтров
4. Ввел частичный путь нажал ОК
5. Заполнил все остальные поля нажал ОК","10500","testPartialPathAndFillOthersAndOk","Мультибраузерное тестирование","2026-08-26","broken","2026-08-26","tests.TimeIntervalPannelTest","Браузер Edge","tests.TimeIntervalPannelTest","testPartialPathAndFillOthersAndOk"
"Проверить, что можно выбрать интервал 'За месяц'","10589","testSelectMonth","Мультибраузерное тестирование","2026-08-26","broken","2026-08-26","tests.TimeIntervalPannelTest","Браузер Yandex","tests.TimeIntervalPannelTest","testSelectMonth"
"Новый пароль не соответствует требованиям (например, без цифры или спецсимвола) при смене пароля","712","testNewPasswordNotMeetRequirements","Мультибраузерное тестирование","2026-08-26","passed","2026-08-26","tests.SetNewPasswordTest","Браузер Chrome","tests.SetNewPasswordTest","testNewPasswordNotMeetRequirements"
"1. Авторизовался в приложении
2. Выбрал временной интервал от 01-01-2020 23:00 до 07-10-2025 00:00
3. Перешел к агрегату БКПРУ-4/СОФ/РВК ""Б""/Насосное оборудование/4.2-2G28
4. Модуль Схема окно Данные измерений тип измерения Тренд вид Таблица
5. Выбран параметр Оборотные перехожу с График на Таблица
6. Выбран параметр Оборотные и параметр Параметры перехожу с График на Таблица
7. Нахожусь на Таблица, выбираю один из Замеры, перехожу на График
8. Перехожу на Таблица, выбираю один из Замеры с несколькими точками, перехожу на График","10471","testMeasurementDataTableParametersTrend","Мультибраузерное тестирование","2026-08-26","broken","2026-08-26","tests.SchemaTest","Браузер Yandex","tests.SchemaTest","testMeasurementDataTableParametersTrend"
"Новый пароль и старый одинаковые","526","testNewPasswordAndCurrentPasswordMatches","Мультибраузерное тестирование","2026-08-26","passed","2026-08-26","tests.SetNewPasswordTest","Браузер Chrome","tests.SetNewPasswordTest","testNewPasswordAndCurrentPasswordMatches"
"Проверить, что можно выбрать интервал 'За год'","10472","testSelectYear","Мультибраузерное тестирование","2026-08-26","broken","2026-08-26","tests.TimeIntervalPannelTest","Браузер Yandex","tests.TimeIntervalPannelTest","testSelectYear"
"","10513","testGetDataUnitSchema","Мультибраузерное тестирование","2026-08-26","broken","2026-08-26","tests.GettingAggregateDataLoadTimeTest","Браузер Chrome","tests.GettingAggregateDataLoadTimeTest","testGetDataUnitSchema"
"Попытка отправки формы с пустыми полями при смене пароля","1477","testSubmittingFormWithEmptyFields","Мультибраузерное тестирование","2026-08-26","passed","2026-08-26","tests.SetNewPasswordTest","Браузер Chrome","tests.SetNewPasswordTest","testSubmittingFormWithEmptyFields"
"Отображение подсказки под полем 'Текущий пароль' в форме смены пароля","275","testHelperCurrentPassword","Мультибраузерное тестирование","2026-08-26","passed","2026-08-26","tests.SetNewPasswordTest","Браузер Yandex","tests.SetNewPasswordTest","testHelperCurrentPassword"
"1. Авторизовался в приложении
2. Выбрал временной интервал от 01-01-2020 23:00 до 07-10-2025 00:00
3. Перешел к станции БКПРУ-4/СОФ/РВК ""Б""/Насосное оборудование
4. Модуль Схема
5. Перешел в модуль Аналитика
6. Выбрал шаблон Статистика агрегатов по заключениям
7. Построены диаграммы
8. Выбрал тип отображения Таблица
9. Построены таблицы","10485","testDashboardDownloads","Мультибраузерное тестирование","2026-08-26","broken","2026-08-26","tests.AnalyticsTest","Браузер Edge","tests.AnalyticsTest","testDashboardDownloads"
"Проверка видимости пароля (иконка 'глаз') на странице Login","2703","testCheckingPasswordVisibility","Мультибраузерное тестирование","2026-08-26","passed","2026-08-26","tests.AuthLoginTest","Браузер Chrome","tests.AuthLoginTest","testCheckingPasswordVisibility"
"1. Авторизовался в приложении
2. Выбрал временной интервал от 01-01-2020 23:00 до 07-10-2025 00:00
3. Перешел к агрегату БКПРУ-4/СОФ/РВК ""Б""/Насосное оборудование/4.2-2G28
4. Модуль Схема
5. 4 окна в рабочей области загрузились
6. Каждое из 4 окон растянулось на всю рабочую область","10492","testUnitDashboardDownloads","Мультибраузерное тестирование","2026-08-26","broken","2026-08-26","tests.SchemaTest","Браузер Chrome","tests.SchemaTest","testUnitDashboardDownloads"
"Переключение языка на форме смены пароля","1694","testSwitchLanguage","Мультибраузерное тестирование","2026-08-26","passed","2026-08-26","tests.SetNewPasswordTest","Браузер Chrome","tests.SetNewPasswordTest","testSwitchLanguage"
"Проверить, что можно выбрать интервал 'За выбранный интервал'","10490","testSelectCustomRange","Мультибраузерное тестирование","2026-08-26","broken","2026-08-26","tests.TimeIntervalPannelTest","Браузер Edge","tests.TimeIntervalPannelTest","testSelectCustomRange"
"1. Авторизовался в приложении
2. Выбрал временной интервал от 01-01-2020 23:00 до 07-10-2025 00:00
3. Перешел к станции БКПРУ-4/СОФ/РВК ""Б""/Насосное оборудование
4. Модуль Схема
5. Перешел в модуль Аналитика
6. Выбрал шаблон Статистика агрегатов по заключениям
7. Построены диаграммы
8. Выбрал тип отображения Таблица
9. Построены таблицы","10743","testDashboardDownloads","Мультибраузерное тестирование","2026-08-26","broken","2026-08-26","tests.AnalyticsTest","Браузер Chrome","tests.AnalyticsTest","testDashboardDownloads"
"Клик по лого на странице Login","216","testClickLogo","Мультибраузерное тестирование","2026-08-26","passed","2026-08-26","tests.AuthLoginTest","Браузер Chrome","tests.AuthLoginTest","testClickLogo"
"1. Авторизовался в приложении
2. Выбрал временной интервал от 01-01-2020 23:00 до 07-10-2025 00:00
3. Перешел к станции БКПРУ-4
4. Выбрал второй фильтр
5. Выбрал третий фильтр
6. Выбрал первый фильтр","10490","testFilterButton","Мультибраузерное тестирование","2026-08-26","broken","2026-08-26","tests.TimeIntervalPannelTest","Браузер Chrome","tests.TimeIntervalPannelTest","testFilterButton"
"Вход с пустыми полями логина и пароля","1410","testLoginWithEmptyUsernameAndPassword","Мультибраузерное тестирование","2026-08-26","passed","2026-08-26","tests.AuthLoginTest","Браузер Chrome","tests.AuthLoginTest","testLoginWithEmptyUsernameAndPassword"
