"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"3","Авторизация и аутентификация","0","Страница Логин","0","24","","0"
"3","Модуль Схема","0","","0","0","","0"
"3","Авторизация и аутентификация","0","Страница Сменить пароль","0","33","","3"
"0","Фильтры","0","Заполняем всю форму и применяем","0","12","","0"
"3","Безопасность","0","SQL-injection","0","6","","0"
"3","Модуль Аналитика","0","","0","0","","0"
"0","Получение времени загрузки данных агрегата 4.2-2G28 на вкладке Схема","0","Время загрузки данных","0","15","","0"
"6","","0","","0","0","","0"
"0","Статичные элементы","0","Панель временного интервала","0","27","","0"
"0","Модуль Схема","0","Рабочая область","0","6","","0"
"3","Модуль Журнал","0","","0","0","","0"
"0","Модуль Схема","0","Окно Табличные данные","0","3","","0"
"0","Модуль Журнал","0","Рабочее окно","0","3","","0"
"0","Модуль Схема","0","Окно Данные измерений","0","9","","0"
"0","Модуль Схема","0","Окно Состояние и прогнозирование","0","3","","0"
"0","Модуль Аналитика","0","Рабочее окно","0","3","","0"
"3","Модуль События","0","","0","0","","0"
"0","Фильтры","0","Фильтрация по кнопкам","0","3","","0"
"0","Модуль События","0","Рабочее окно","0","3","","0"
