"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"2","Статичные элементы","0","Панель временного интервала","25","0","","0"
"1","Получение времени загрузки данных агрегата 4.2-2G28 на вкладке Схема","0","Время загрузки данных","14","0","","0"
"0","Авторизация и аутентификация","0","Страница Сменить пароль","33","0","","3"
"0","Безопасность","0","SQL-injection","6","0","","0"
"16","Модуль Схема","1","Данные измерений","19","0","","0"
"1","Модуль Схема","0","Окно Состояние и прогнозирование","5","0","","0"
"1","Модуль Схема","0","Окно Схема агрегата","2","0","","0"
"1","Модуль Схема","0","Окно Табличные данные","17","0","","0"
"9","Фильтры","0","Заполняем всю форму и применяем","0","0","","0"
"0","Авторизация и аутентификация","0","Страница Логин","24","0","","0"
"0","Модуль Схема","0","Рабочая область","3","0","","0"
"9","Фильтры","0","Поле 'Путь' — полный ввод","0","0","","0"
"9","Фильтры","0","Поле 'Путь' — частичный ввод","0","0","","0"
"2","Модуль Схема","0","Окно Данные измерений","1","0","","0"
