"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"20","Статичные элементы","0","Панель временного интервала","7","0","","0"
"2","Модуль События","0","Рабочее окно","1","0","","0"
"6","Модуль Схема","0","Рабочая область","0","0","","0"
"0","Авторизация и аутентификация","1","Страница Сменить пароль","32","0","","3"
"12","Фильтры","0","Заполняем всю форму и применяем","0","0","","0"
"11","Получение времени загрузки данных агрегата 4.2-2G28 на вкладке Схема","0","Время загрузки данных","4","0","","0"
"8","Модуль Схема","0","Окно Данные измерений","1","0","","0"
"3","Авторизация и аутентификация","0","Страница Логин","21","0","","0"
"1","Модуль Схема","0","Окно Состояние и прогнозирование","2","0","","0"
"2","Модуль Журнал","0","Рабочее окно","1","0","","0"
"2","Фильтры","1","Фильтрация по кнопкам","0","0","","0"
"0","Безопасность","0","SQL-injection","6","0","","0"
"3","Модуль Аналитика","0","Рабочее окно","0","0","","0"
"2","Модуль Схема","0","Окно Табличные данные","1","0","","0"
