"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверить, что можно выбрать интервал 'За месяц'","17414","testSelectMonth","Мультибраузерное тестирование","Thu Jan 08 03:42:25 UTC 2026","passed","Thu Jan 08 03:42:42 UTC 2026","tests.TimeIntervalPannelTest","Браузер Chrome","tests.TimeIntervalPannelTest","testSelectMonth"
"1. Авторизовался в приложении
2. Выбрал временной интервал от 01-01-2020 23:00 до 07-10-2025 00:00
3. Перешел к станции БКПРУ-4/СОФ/РВК ""Б""/Конвейерный транспорт
4. Модуль Схема
5. Перешел в модуль События
6. Данные в таблице заполнены
7. Перешел к станции БКПРУ-4/СОФ/РВК ""Б""/Насосное оборудование/4.2-2G28
8. Модуль События
9. Данные в таблице заполнены","48169","testDashboardDownloads","Мультибраузерное тестирование","Thu Jan 08 03:27:52 UTC 2026","passed","Thu Jan 08 03:28:40 UTC 2026","tests.EventsTest","Браузер Chrome","tests.EventsTest","testDashboardDownloads"
"Проверить, что при открытии выпадающего списка отображаются все ожидаемые варианты","10513","testDropdownContainsAllExpectedOptions","Мультибраузерное тестирование","Thu Jan 08 03:56:19 UTC 2026","broken","Thu Jan 08 03:56:29 UTC 2026","tests.TimeIntervalPannelTest","Браузер Edge","tests.TimeIntervalPannelTest","testDropdownContainsAllExpectedOptions"
"1. Авторизовался в приложении
2. Выбрал временной интервал от 01-01-2020 23:00 до 07-10-2025 00:00
3. Перешел к станции БКПРУ-4
4. Модуль Схема
5. Данные отображаются Диаграмма
6. Данные отображаются Схема
7. Перешел к станции СКРУ-3
4. Модуль Схема
5. Данные отображаются Диаграмма
6. Данные отображаются Схема","10504","testStationDashboardDownloads","Мультибраузерное тестирование","Thu Jan 08 04:08:28 UTC 2026","broken","Thu Jan 08 04:08:39 UTC 2026","tests.SchemaTest","Браузер Yandex","tests.SchemaTest","testStationDashboardDownloads"
"Новый пароль не соответствует требованиям (например, без цифры или спецсимвола) при смене пароля","930","testNewPasswordNotMeetRequirements","Мультибраузерное тестирование","Thu Jan 08 03:55:20 UTC 2026","passed","Thu Jan 08 03:55:20 UTC 2026","tests.SetNewPasswordTest","Браузер Edge","tests.SetNewPasswordTest","testNewPasswordNotMeetRequirements"
"1. Авторизовался в приложении
2. Выбрал временной интервал от 01-01-2020 23:00 до 07-10-2025 00:00
3. В меню Оборудование кликнул Список фильтров
4. Ввел частичный путь нажал ОК
5. Заполнил все остальные поля нажал ОК","58841","testPartialPathAndFillOthersAndOk","Мультибраузерное тестирование","Thu Jan 08 03:39:43 UTC 2026","broken","Thu Jan 08 03:40:41 UTC 2026","tests.TimeIntervalPannelTest","Браузер Chrome","tests.TimeIntervalPannelTest","testPartialPathAndFillOthersAndOk"
"","68189","testGetDataUnitSchema","Мультибраузерное тестирование","Thu Jan 08 03:48:26 UTC 2026","broken","Thu Jan 08 03:49:34 UTC 2026","tests.GettingAggregateDataLoadTimeTest","Браузер Edge","tests.GettingAggregateDataLoadTimeTest","testGetDataUnitSchema"
"Повторное использование пароля при смене пароля","1630","testPasswordReuse","Мультибраузерное тестирование","Thu Jan 08 03:55:30 UTC 2026","passed","Thu Jan 08 03:55:32 UTC 2026","tests.SetNewPasswordTest","Браузер Edge","tests.SetNewPasswordTest","testPasswordReuse"
"Проверить, что можно выбрать интервал 'За неделю'","10617","testSelectWeek","Мультибраузерное тестирование","Thu Jan 08 03:42:49 UTC 2026","broken","Thu Jan 08 03:42:59 UTC 2026","tests.TimeIntervalPannelTest","Браузер Chrome","tests.TimeIntervalPannelTest","testSelectWeek"
"1. Авторизовался в приложении
2. Выбрал временной интервал от 01-01-2020 23:00 до 07-10-2025 00:00
3. Перешел к агрегату БКПРУ-4/СОФ/РВК ""Б""/Насосное оборудование/4.2-2G08
4. Модуль Схема окно Данные измерений вид График
5. Выбран параметр Замеры тип измерения Спектр
6. Выбран параметр Замеры тип измерения Форма сигнала
7. Выбран параметр Замеры тип измерения Тренд
8. Выбран параметр Замеры тип измерения Орбита","10555","testMeasurementDataGraphParametersMeasurementType","Мультибраузерное тестирование","Thu Jan 08 03:31:14 UTC 2026","broken","Thu Jan 08 03:31:24 UTC 2026","tests.SchemaTest","Браузер Chrome","tests.SchemaTest","testMeasurementDataGraphParametersMeasurementType"
"Проверка видимости пароля (иконка 'глаз') на странице Login","2719","testCheckingPasswordVisibility","Мультибраузерное тестирование","Thu Jan 08 03:44:05 UTC 2026","passed","Thu Jan 08 03:44:08 UTC 2026","tests.AuthLoginTest","Браузер Edge","tests.AuthLoginTest","testCheckingPasswordVisibility"
"1. Авторизовался в приложении
2. Выбрал временной интервал от 01-01-2020 23:00 до 07-10-2025 00:00
3. Перешел к агрегату БКПРУ-4/СОФ/РВК ""Б""/Насосное оборудование/4.2-2G28
4. Модуль Схема окно Состояние и прогнозирование
5. Меняю вид отображения на Шкала","65099","testStatusForecastingScaleWindowCoversEntireWorkArea","Мультибраузерное тестирование","Thu Jan 08 03:34:10 UTC 2026","broken","Thu Jan 08 03:35:15 UTC 2026","tests.SchemaTest","Браузер Chrome","tests.SchemaTest","testStatusForecastingScaleWindowCoversEntireWorkArea"
"","10564","testGetDataUnitSchema","Мультибраузерное тестирование","Thu Jan 08 03:28:47 UTC 2026","broken","Thu Jan 08 03:28:58 UTC 2026","tests.GettingAggregateDataLoadTimeTest","Браузер Chrome","tests.GettingAggregateDataLoadTimeTest","testGetDataUnitSchema"
"Текущий пароль указан неверно при смене пароля","1568","testCurrentPasswordIncorrect","Мультибраузерное тестирование","Thu Jan 08 04:11:11 UTC 2026","passed","Thu Jan 08 04:11:13 UTC 2026","tests.SetNewPasswordTest","Браузер Yandex","tests.SetNewPasswordTest","testCurrentPasswordIncorrect"
"1. Авторизовался в приложении
2. Выбрал временной интервал от 01-01-2020 23:00 до 07-10-2025 00:00
3. Перешел к станции БКПРУ-4
4. Модуль Схема
5. Данные отображаются Диаграмма
6. Данные отображаются Схема
7. Перешел к станции СКРУ-3
4. Модуль Схема
5. Данные отображаются Диаграмма
6. Данные отображаются Схема","10605","testStationDashboardDownloads","Мультибраузерное тестирование","Thu Jan 08 03:33:53 UTC 2026","broken","Thu Jan 08 03:34:03 UTC 2026","tests.SchemaTest","Браузер Chrome","tests.SchemaTest","testStationDashboardDownloads"
"","10538","testGetDataUnitSchema","Мультибраузерное тестирование","Thu Jan 08 04:06:32 UTC 2026","broken","Thu Jan 08 04:06:43 UTC 2026","tests.GettingAggregateDataLoadTimeTest","Браузер Yandex","tests.GettingAggregateDataLoadTimeTest","testGetDataUnitSchema"
"1. Авторизовался в приложении
2. Выбрал временной интервал от 01-01-2020 23:00 до 07-10-2025 00:00
3. Перешел к станции БКПРУ-4/СОФ/РВК ""Б""/Конвейерный транспорт
4. Модуль Схема
5. Перешел в модуль Журнал
6. Данные в таблице заполнены
7. Перешел к станции БКПРУ-4/СОФ/РВК ""Б""/Насосное оборудование/4.2-2G28
8. Модуль Журнал
9. Данные в таблице заполнены","10517","testDashboardDownloads","Мультибраузерное тестирование","Thu Jan 08 03:50:19 UTC 2026","broken","Thu Jan 08 03:50:29 UTC 2026","tests.MagazineTest","Браузер Edge","tests.MagazineTest","testDashboardDownloads"
"Переключения языка (RU/EN)","1502","testSwitchLanguage","Мультибраузерное тестирование","Thu Jan 08 03:45:20 UTC 2026","passed","Thu Jan 08 03:45:22 UTC 2026","tests.AuthLoginTest","Браузер Edge","tests.AuthLoginTest","testSwitchLanguage"
"Проверить, что можно выбрать интервал 'За сутки'","10602","testSelectFullDay","Мультибраузерное тестирование","Thu Jan 08 04:00:58 UTC 2026","broken","Thu Jan 08 04:01:08 UTC 2026","tests.TimeIntervalPannelTest","Браузер Edge","tests.TimeIntervalPannelTest","testSelectFullDay"
"1. Авторизовался в приложении
2. Выбрал временной интервал от 01-01-2020 23:00 до 07-10-2025 00:00
3. Перешел к станции БКПРУ-4
4. Выбрал второй фильтр
5. Выбрал третий фильтр
6. Выбрал первый фильтр","10648","testFilterButton","Мультибраузерное тестирование","Thu Jan 08 03:39:02 UTC 2026","broken","Thu Jan 08 03:39:12 UTC 2026","tests.TimeIntervalPannelTest","Браузер Chrome","tests.TimeIntervalPannelTest","testFilterButton"
"","10546","testGetDataUnitSchema","Мультибраузерное тестирование","Thu Jan 08 03:29:05 UTC 2026","broken","Thu Jan 08 03:29:15 UTC 2026","tests.GettingAggregateDataLoadTimeTest","Браузер Chrome","tests.GettingAggregateDataLoadTimeTest","testGetDataUnitSchema"
"","10595","testGetDataUnitSchema","Мультибраузерное тестирование","Thu Jan 08 03:30:04 UTC 2026","broken","Thu Jan 08 03:30:14 UTC 2026","tests.GettingAggregateDataLoadTimeTest","Браузер Chrome","tests.GettingAggregateDataLoadTimeTest","testGetDataUnitSchema"
"Введенные данные сохраняются в значение поля","864","testEnteredDataSavedFieldValue","Мультибраузерное тестирование","Thu Jan 08 03:27:07 UTC 2026","passed","Thu Jan 08 03:27:08 UTC 2026","tests.AuthLoginTest","Браузер Chrome","tests.AuthLoginTest","testEnteredDataSavedFieldValue"
"Клик по лого на странице Login","179","testClickLogo","Мультибраузерное тестирование","Thu Jan 08 03:26:49 UTC 2026","passed","Thu Jan 08 03:26:49 UTC 2026","tests.AuthLoginTest","Браузер Chrome","tests.AuthLoginTest","testClickLogo"
"1. Авторизовался в приложении
2. Выбрал временной интервал от 01-01-2020 23:00 до 07-10-2025 00:00
3. Перешел к станции БКПРУ-4/СОФ/РВК ""Б""/Конвейерный транспорт
4. Модуль Схема
5. Перешел в модуль Журнал
6. Данные в таблице заполнены
7. Перешел к станции БКПРУ-4/СОФ/РВК ""Б""/Насосное оборудование/4.2-2G28
8. Модуль Журнал
9. Данные в таблице заполнены","10533","testDashboardDownloads","Мультибраузерное тестирование","Thu Jan 08 04:07:12 UTC 2026","broken","Thu Jan 08 04:07:23 UTC 2026","tests.MagazineTest","Браузер Yandex","tests.MagazineTest","testDashboardDownloads"
"1. Авторизовался в приложении
2. Выбрал временной интервал от 01-01-2020 23:00 до 07-10-2025 00:00
3. Перешел к станции БКПРУ-4
4. Выбрал второй фильтр
5. Выбрал третий фильтр
6. Выбрал первый фильтр","10599","testFilterButton","Мультибраузерное тестирование","Thu Jan 08 04:13:05 UTC 2026","broken","Thu Jan 08 04:13:15 UTC 2026","tests.TimeIntervalPannelTest","Браузер Yandex","tests.TimeIntervalPannelTest","testFilterButton"
"Проверить, что можно выбрать интервал 'За месяц'","10533","testSelectMonth","Мультибраузерное тестирование","Thu Jan 08 04:16:41 UTC 2026","broken","Thu Jan 08 04:16:52 UTC 2026","tests.TimeIntervalPannelTest","Браузер Yandex","tests.TimeIntervalPannelTest","testSelectMonth"
"Проверка работы пользовательского временного интервала","10530","testReceivingDataForShiftEvents","Мультибраузерное тестирование","Thu Jan 08 04:15:35 UTC 2026","broken","Thu Jan 08 04:15:46 UTC 2026","tests.TimeIntervalPannelTest","Браузер Yandex","tests.TimeIntervalPannelTest","testReceivingDataForShiftEvents"
"Проверка работы пользовательского временного интервала","10498","testReceivingDataForShiftEvents","Мультибраузерное тестирование","Thu Jan 08 04:00:20 UTC 2026","broken","Thu Jan 08 04:00:30 UTC 2026","tests.TimeIntervalPannelTest","Браузер Edge","tests.TimeIntervalPannelTest","testReceivingDataForShiftEvents"
"1. Авторизовался в приложении
2. Выбрал временной интервал от 01-01-2020 23:00 до 07-10-2025 00:00
3. Перешел к агрегату БКПРУ-4/СОФ/РВК ""Б""/Насосное оборудование/4.2-2G28
4. Модуль Схема
5. 4 окна в рабочей области загрузились
6. Каждое из 4 окон растянулось на всю рабочую область","10513","testUnitDashboardDownloads","Мультибраузерное тестирование","Thu Jan 08 03:53:22 UTC 2026","broken","Thu Jan 08 03:53:32 UTC 2026","tests.SchemaTest","Браузер Edge","tests.SchemaTest","testUnitDashboardDownloads"
"Проверить, что при открытии выпадающего списка отображаются все ожидаемые варианты","10588","testDropdownContainsAllExpectedOptions","Мультибраузерное тестирование","Thu Jan 08 04:12:44 UTC 2026","broken","Thu Jan 08 04:12:54 UTC 2026","tests.TimeIntervalPannelTest","Браузер Yandex","tests.TimeIntervalPannelTest","testDropdownContainsAllExpectedOptions"
