"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"15","Получение времени загрузки данных агрегата 4.2-2G28 на вкладке Схема","0","Время загрузки данных","0","0","","0"
"33","Авторизация и аутентификация","0","Страница Сменить пароль","0","0","","3"
"3","Модуль Схема","0","Окно Данные измерений","0","0","","0"
"27","Статичные элементы","0","Панель временного интервала","0","0","","0"
"36","Модуль Схема","0","Данные измерений","0","0","","0"
"24","Авторизация и аутентификация","0","Страница Логин","0","0","","0"
"18","Модуль Схема","0","Окно Табличные данные","0","0","","0"
"3","Модуль Схема","0","Рабочая область","0","0","","0"
"6","Модуль Схема","0","Окно Состояние и прогнозирование","0","0","","0"
"3","Модуль Схема","0","Окно Схема агрегата","0","0","","0"
"6","Безопасность","0","SQL-injection","0","0","","0"
