"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"1. Авторизовался в приложении
2. Выбрал временной интервал от 01-01-2020 23:00 до 07-10-2025 00:00
3. Перешел к агрегату БКПРУ-4/СОФ/РВК ""Б""/Насосное оборудование/4.2-2G02
4. Модуль Схема окно Табличные данные
5. Данные отображаются в виде События, Мероприятия ТОиР, Дефекты, Рекомендации, Отчеты","37526","testTabularDataDisplayTypes","Мультибраузерное тестирование","Wed Mar 25 04:27:02 UTC 2026","broken","Wed Mar 25 04:27:40 UTC 2026","tests.SchemaTest","Браузер Chrome","tests.SchemaTest","testTabularDataDisplayTypes"
"Проверка видимости пароля (иконка 'глаз') для поля Новый пароль на странице Cменить пароль","2885","testCheckingNewPasswordVisibility","Мультибраузерное тестирование","Wed Mar 25 04:51:57 UTC 2026","passed","Wed Mar 25 04:52:00 UTC 2026","tests.SetNewPasswordTest","Браузер Edge","tests.SetNewPasswordTest","testCheckingNewPasswordVisibility"
"Текущий пароль указан неверно при смене пароля","1735","testCurrentPasswordIncorrect","Мультибраузерное тестирование","Wed Mar 25 04:52:17 UTC 2026","passed","Wed Mar 25 04:52:19 UTC 2026","tests.SetNewPasswordTest","Браузер Edge","tests.SetNewPasswordTest","testCurrentPasswordIncorrect"
"Вход с пустыми полями логина и пароля","1498","testLoginWithEmptyUsernameAndPassword","Мультибраузерное тестирование","Wed Mar 25 04:17:05 UTC 2026","passed","Wed Mar 25 04:17:06 UTC 2026","tests.AuthLoginTest","Браузер Chrome","tests.AuthLoginTest","testLoginWithEmptyUsernameAndPassword"
"Новый пароль не соответствует требованиям (например, без цифры или спецсимвола) при смене пароля","1139","testNewPasswordNotMeetRequirements","Мультибраузерное тестирование","Wed Mar 25 05:16:18 UTC 2026","passed","Wed Mar 25 05:16:19 UTC 2026","tests.SetNewPasswordTest","Браузер Yandex","tests.SetNewPasswordTest","testNewPasswordNotMeetRequirements"
"","37341","testGetDataUnitSchema","Мультибраузерное тестирование","Wed Mar 25 04:18:08 UTC 2026","broken","Wed Mar 25 04:18:45 UTC 2026","tests.GettingAggregateDataLoadTimeTest","Браузер Chrome","tests.GettingAggregateDataLoadTimeTest","testGetDataUnitSchema"
"Переход по кнопке 'Сменить пароль'","357","testClickChangePasswordButton","Мультибраузерное тестирование","Wed Mar 25 05:02:34 UTC 2026","passed","Wed Mar 25 05:02:35 UTC 2026","tests.AuthLoginTest","Браузер Yandex","tests.AuthLoginTest","testClickChangePasswordButton"
"Проверить, что можно выбрать интервал 'За сутки'","16965","testSelectFullDay","Мультибраузерное тестирование","Wed Mar 25 04:59:32 UTC 2026","passed","Wed Mar 25 04:59:49 UTC 2026","tests.TimeIntervalPannelTest","Браузер Edge","tests.TimeIntervalPannelTest","testSelectFullDay"
"1. Авторизовался в приложении
2. Выбрал временной интервал от 01-01-2020 23:00 до 07-10-2025 00:00
3. Перешел к станции БКПРУ-4
4. Модуль Схема
5. Данные отображаются Диаграмма
6. Данные отображаются Схема
7. Перешел к станции СКРУ-3
4. Модуль Схема
5. Данные отображаются Диаграмма
6. Данные отображаются Схема","60936","testStationDashboardDownloads","Мультибраузерное тестирование","Wed Mar 25 05:11:08 UTC 2026","passed","Wed Mar 25 05:12:09 UTC 2026","tests.SchemaTest","Браузер Yandex","tests.SchemaTest","testStationDashboardDownloads"
"Ввод неверного логина или пароля","1518","testEnterIncorrectLoginOrPassword","Мультибраузерное тестирование","Wed Mar 25 04:16:45 UTC 2026","passed","Wed Mar 25 04:16:46 UTC 2026","tests.AuthLoginTest","Браузер Chrome","tests.AuthLoginTest","testEnterIncorrectLoginOrPassword"
