"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Авторизация и аутентификация","9","Страница Сменить пароль","24","0","","3"
"0","Статичные элементы","0","Панель временного интервала","27","0","","0"
"3","Модуль События","0","Рабочее окно","0","0","","0"
"0","Безопасность","0","SQL-injection","6","0","","0"
"0","Фильтры","0","Заполняем всю форму и применяем","12","0","","0"
"3","Модуль Схема","0","Окно Состояние и прогнозирование","0","0","","0"
"3","Модуль Схема","0","Окно Табличные данные","0","0","","0"
"11","Получение времени загрузки данных агрегата 4.2-2G28 на вкладке Схема","0","Время загрузки данных","4","0","","0"
"8","Модуль Схема","1","Окно Данные измерений","0","0","","0"
"0","Авторизация и аутентификация","3","Страница Логин","21","0","","0"
"0","Фильтры","3","Фильтрация по кнопкам","0","0","","0"
"3","Модуль Журнал","0","Рабочее окно","0","0","","0"
"3","Модуль Аналитика","0","Рабочее окно","0","0","","0"
"3","Модуль Схема","0","Рабочая область","3","0","","0"
