"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Авторизация и аутентификация","9","Страница Сменить пароль","24","0","","3"
"27","Статичные элементы","0","Панель временного интервала","0","0","","0"
"3","Модуль Журнал","0","Рабочее окно","0","0","","0"
"3","Авторизация и аутентификация","3","Страница Логин","18","0","","0"
"12","Фильтры","0","Заполняем всю форму и применяем","0","0","","0"
"15","Получение времени загрузки данных агрегата 4.2-2G28 на вкладке Схема","0","Время загрузки данных","0","0","","0"
"3","Модуль События","0","Рабочее окно","0","0","","0"
"9","Модуль Схема","0","Окно Данные измерений","0","0","","0"
"3","Модуль Аналитика","0","Рабочее окно","0","0","","0"
"0","Безопасность","0","SQL-injection","6","0","","0"
"3","Модуль Схема","0","Окно Табличные данные","0","0","","0"
"6","Модуль Схема","0","Рабочая область","0","0","","0"
"3","Модуль Схема","0","Окно Состояние и прогнозирование","0","0","","0"
"3","Фильтры","0","Фильтрация по кнопкам","0","0","","0"
