"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"11","Статичные элементы","0","Панель временного интервала","0","16","","0"
"3","Авторизация и аутентификация","2","Страница Логин","12","8","","0"
"2","Модуль Журнал","0","Рабочее окно","0","1","","0"
"1","Модуль Журнал","0","","0","0","","0"
"1","Авторизация и аутентификация","6","Страница Сменить пароль","16","11","","3"
"1","Безопасность","2","SQL-injection","2","2","","0"
"4","Модуль Схема","0","Рабочая область","0","2","","0"
"10","Получение времени загрузки данных агрегата 4.2-2G28 на вкладке Схема","0","Время загрузки данных","0","5","","0"
"6","Фильтры","0","Заполняем всю форму и применяем","0","6","","0"
"2","Модуль Аналитика","0","Рабочее окно","0","1","","0"
"2","Модуль События","0","Рабочее окно","0","1","","0"
"6","Модуль Схема","0","Окно Данные измерений","0","3","","0"
"1","Модуль Схема","0","","0","0","","0"
"3","","0","","0","0","","0"
"2","Модуль Схема","0","Окно Табличные данные","0","1","","0"
"2","Модуль Схема","0","Окно Состояние и прогнозирование","0","1","","0"
"2","Фильтры","0","Фильтрация по кнопкам","0","1","","0"
"1","Модуль Аналитика","0","","0","0","","0"
"1","Модуль События","0","","0","0","","0"
