"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13344","testGetDataUnitSchema","Мультибраузерное тестирование","Thu Dec 11 03:47:23 UTC 2025","broken","Thu Dec 11 03:47:36 UTC 2025","tests.GettingAggregateDataLoadTimeTest","Браузер Edge","tests.GettingAggregateDataLoadTimeTest","testGetDataUnitSchema"
"Проверка видимости пароля (иконка 'глаз') для поля Новый пароль на странице Cменить пароль","2752","testCheckingNewPasswordVisibility","Мультибраузерное тестирование","Thu Dec 11 03:55:36 UTC 2025","passed","Thu Dec 11 03:55:38 UTC 2025","tests.SetNewPasswordTest","Браузер Edge","tests.SetNewPasswordTest","testCheckingNewPasswordVisibility"
"1. Авторизовался в приложении
2. Выбрал временной интервал от 01-01-2020 23:00 до 07-10-2025 00:00
3. Перешел к станции БКПРУ-4/СОФ/РВК ""Б""/Конвейерный транспорт
4. Модуль Схема
5. Перешел в модуль События
6. Данные в таблице заполнены
7. Перешел к станции БКПРУ-4/СОФ/РВК ""Б""/Насосное оборудование/4.2-2G28
8. Модуль События
9. Данные в таблице заполнены","19009","testDashboardDownloads","Мультибраузерное тестирование","Thu Dec 11 03:23:29 UTC 2025","passed","Thu Dec 11 03:23:48 UTC 2025","tests.EventsTest","Браузер Chrome","tests.EventsTest","testDashboardDownloads"
"Попытка SQL-injection в поля логина/пароля не должна приводить к успешной аутентификации","1527","testSqlInjectionDoesNotBypassAuthentication","Мультибраузерное тестирование","Thu Dec 11 04:15:18 UTC 2025","passed","Thu Dec 11 04:15:20 UTC 2025","tests.SecuritySqlInjectionTest","Браузер Yandex","tests.SecuritySqlInjectionTest","testSqlInjectionDoesNotBypassAuthentication"
"1. Авторизовался в приложении
2. Выбрал временной интервал от 01-01-2020 23:00 до 07-10-2025 00:00
3. Перешел к станции БКПРУ-4/СОФ/РВК ""Б""/Конвейерный транспорт
4. Модуль Схема
5. Перешел в модуль События
6. Данные в таблице заполнены
7. Перешел к станции БКПРУ-4/СОФ/РВК ""Б""/Насосное оборудование/4.2-2G28
8. Модуль События
9. Данные в таблице заполнены","17393","testDashboardDownloads","Мультибраузерное тестирование","Thu Dec 11 03:45:32 UTC 2025","passed","Thu Dec 11 03:45:50 UTC 2025","tests.EventsTest","Браузер Edge","tests.EventsTest","testDashboardDownloads"
"1. Авторизовался в приложении
2. Выбрал временной интервал от 01-01-2020 23:00 до 07-10-2025 00:00
3. Перешел к агрегату БКПРУ-4/СОФ/РВК ""Б""/Насосное оборудование/4.2-2G28
4. Модуль Схема
5. 4 окна в рабочей области загрузились
6. Каждое из 4 окон растянулось на всю рабочую область","26463","testUnitDashboardDownloads","Мультибраузерное тестирование","Thu Dec 11 03:54:29 UTC 2025","passed","Thu Dec 11 03:54:56 UTC 2025","tests.SchemaTest","Браузер Edge","tests.SchemaTest","testUnitDashboardDownloads"
"Проверка видимости пароля (иконка 'глаз') для поля Текущий пароль на странице Cменить пароль","2763","testCheckingCurrentPasswordVisibility","Мультибраузерное тестирование","Thu Dec 11 03:55:24 UTC 2025","passed","Thu Dec 11 03:55:27 UTC 2025","tests.SetNewPasswordTest","Браузер Edge","tests.SetNewPasswordTest","testCheckingCurrentPasswordVisibility"
"1. Авторизовался в приложении
2. Выбрал временной интервал от 01-01-2020 23:00 до 07-10-2025 00:00
3. Перешел к агрегату БКПРУ-4/СОФ/РВК ""Б""/Насосное оборудование/4.2-2G28
4. Модуль Схема
5. 4 окна в рабочей области загрузились
6. Каждое из 4 окон растянулось на всю рабочую область","26855","testUnitDashboardDownloads","Мультибраузерное тестирование","Thu Dec 11 04:14:44 UTC 2025","passed","Thu Dec 11 04:15:11 UTC 2025","tests.SchemaTest","Браузер Yandex","tests.SchemaTest","testUnitDashboardDownloads"
"1. Авторизовался в приложении
2. Выбрал временной интервал от 01-01-2020 23:00 до 07-10-2025 00:00
3. Перешел к станции БКПРУ-4/СОФ/РВК ""Б""/Конвейерный транспорт
4. Модуль Схема
5. Перешел в модуль Журнал
6. Данные в таблице заполнены
7. Перешел к станции БКПРУ-4/СОФ/РВК ""Б""/Насосное оборудование/4.2-2G28
8. Модуль Журнал
9. Данные в таблице заполнены","19284","testDashboardDownloads","Мультибраузерное тестирование","Thu Dec 11 03:48:11 UTC 2025","passed","Thu Dec 11 03:48:31 UTC 2025","tests.MagazineTest","Браузер Edge","tests.MagazineTest","testDashboardDownloads"
"Проверить, что можно выбрать интервал 'За месяц'","12651","testSelectMonth","Мультибраузерное тестирование","Thu Dec 11 04:23:05 UTC 2025","passed","Thu Dec 11 04:23:18 UTC 2025","tests.TimeIntervalPannelTest","Браузер Yandex","tests.TimeIntervalPannelTest","testSelectMonth"
"","22893","testGetDataUnitSchema","Мультибраузерное тестирование","Thu Dec 11 03:45:57 UTC 2025","passed","Thu Dec 11 03:46:20 UTC 2025","tests.GettingAggregateDataLoadTimeTest","Браузер Edge","tests.GettingAggregateDataLoadTimeTest","testGetDataUnitSchema"
"Проверить, что можно выбрать интервал 'За неделю'","13599","testSelectWeek","Мультибраузерное тестирование","Thu Dec 11 04:23:28 UTC 2025","passed","Thu Dec 11 04:23:41 UTC 2025","tests.TimeIntervalPannelTest","Браузер Yandex","tests.TimeIntervalPannelTest","testSelectWeek"
"Текущий пароль указан неверно при смене пароля","1592","testCurrentPasswordIncorrect","Мультибраузерное тестирование","Thu Dec 11 04:16:14 UTC 2025","passed","Thu Dec 11 04:16:15 UTC 2025","tests.SetNewPasswordTest","Браузер Yandex","tests.SetNewPasswordTest","testCurrentPasswordIncorrect"
