"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Авторизация и аутентификация","2","Страница Сменить пароль","31","0","","3"
"2","Фильтры","1","Фильтрация по кнопкам","0","0","","0"
"0","Безопасность","0","SQL-injection","6","0","","0"
"10","Получение времени загрузки данных агрегата 4.2-2G28 на вкладке Схема","0","Время загрузки данных","5","0","","0"
"2","Авторизация и аутентификация","0","Страница Логин","22","0","","0"
"2","Модуль Аналитика","0","Рабочее окно","1","0","","0"
"16","Статичные элементы","0","Панель временного интервала","11","0","","0"
"12","Фильтры","0","Заполняем всю форму и применяем","0","0","","0"
"9","Модуль Схема","0","Окно Данные измерений","0","0","","0"
"2","Модуль События","0","Рабочее окно","1","0","","0"
"2","Модуль Журнал","0","Рабочее окно","1","0","","0"
"5","Модуль Схема","0","Рабочая область","1","0","","0"
"1","Модуль Схема","0","Окно Табличные данные","2","0","","0"
"1","Модуль Схема","0","Окно Состояние и прогнозирование","2","0","","0"
