"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Попытка отправки формы с пустыми полями при смене пароля","1570","testSubmittingFormWithEmptyFields","Мультибраузерное тестирование","Tue Jan 20 06:16:06 UTC 2026","passed","Tue Jan 20 06:16:07 UTC 2026","tests.SetNewPasswordTest","Браузер Edge","tests.SetNewPasswordTest","testSubmittingFormWithEmptyFields"
"1. Авторизовался в приложении
2. Выбрал временной интервал от 01-01-2020 23:00 до 07-10-2025 00:00
3. Перешел к станции БКПРУ-4/СОФ/РВК ""Б""/Конвейерный транспорт
4. Модуль Схема
5. Перешел в модуль События
6. Данные в таблице заполнены
7. Перешел к станции БКПРУ-4/СОФ/РВК ""Б""/Насосное оборудование/4.2-2G28
8. Модуль События
9. Данные в таблице заполнены","22835","testDashboardDownloads","Мультибраузерное тестирование","Tue Jan 20 06:04:10 UTC 2026","passed","Tue Jan 20 06:04:32 UTC 2026","tests.EventsTest","Браузер Edge","tests.EventsTest","testDashboardDownloads"
"Проверить, что можно выбрать интервал 'За смену (8 часов)'","11926","testSelectWorkDay","Мультибраузерное тестирование","Tue Jan 20 06:44:28 UTC 2026","passed","Tue Jan 20 06:44:40 UTC 2026","tests.TimeIntervalPannelTest","Браузер Yandex","tests.TimeIntervalPannelTest","testSelectWorkDay"
"1. Авторизовался в приложении
2. Выбрал временной интервал от 01-01-2020 23:00 до 07-10-2025 00:00
3. Перешел к агрегату БКПРУ-4/СОФ/РВК ""Б""/Насосное оборудование/4.2-2G28
4. Модуль Схема окно Данные измерений  тип измерения Тренд вид График
5. Выбран параметр Оборотные
6. Выбран параметр Оборотные и один Параметры
7. Выбрано 5 однотипных параметров Замеры
8. Выбрано 3 не однотипных параметра Замеры","49577","testMeasurementDataGraphParametersTrend","Мультибраузерное тестирование","Tue Jan 20 05:47:23 UTC 2026","broken","Tue Jan 20 05:48:12 UTC 2026","tests.SchemaTest","Браузер Chrome","tests.SchemaTest","testMeasurementDataGraphParametersTrend"
"Проверка работы пользовательского временного интервала","18562","testReceivingDataForShiftEvents","Мультибраузерное тестирование","Tue Jan 20 05:59:49 UTC 2026","passed","Tue Jan 20 06:00:08 UTC 2026","tests.TimeIntervalPannelTest","Браузер Chrome","tests.TimeIntervalPannelTest","testReceivingDataForShiftEvents"
"Проверка работы пользовательского временного интервала","17914","testReceivingDataForShiftEvents","Мультибраузерное тестирование","Tue Jan 20 06:42:30 UTC 2026","passed","Tue Jan 20 06:42:48 UTC 2026","tests.TimeIntervalPannelTest","Браузер Yandex","tests.TimeIntervalPannelTest","testReceivingDataForShiftEvents"
"Повторное использование пароля при смене пароля","1662","testPasswordReuse","Мультибраузерное тестирование","Tue Jan 20 05:54:40 UTC 2026","passed","Tue Jan 20 05:54:42 UTC 2026","tests.SetNewPasswordTest","Браузер Chrome","tests.SetNewPasswordTest","testPasswordReuse"
"1. Авторизовался в приложении
2. Выбрал временной интервал от 01-01-2020 23:00 до 07-10-2025 00:00
3. Перешел к агрегату БКПРУ-4/СОФ/РВК ""Б""/Насосное оборудование/4.2-2G08
4. Модуль Схема окно Данные измерений вид График
5. Выбран параметр Замеры тип измерения Спектр
6. Выбран параметр Замеры тип измерения Форма сигнала
7. Выбран параметр Замеры тип измерения Тренд
8. Выбран параметр Замеры тип измерения Орбита","68314","testMeasurementDataGraphParametersMeasurementType","Мультибраузерное тестирование","Tue Jan 20 06:07:34 UTC 2026","passed","Tue Jan 20 06:08:43 UTC 2026","tests.SchemaTest","Браузер Edge","tests.SchemaTest","testMeasurementDataGraphParametersMeasurementType"
"1. Авторизовался в приложении
2. Выбрал временной интервал от 01-01-2020 23:00 до 07-10-2025 00:00
3. В меню Оборудование кликнул Список фильтров
4. Ввел частичный путь нажал ОК
5. Заполнил все остальные поля нажал ОК","43969","testPartialPathAndFillOthersAndOk","Мультибраузерное тестирование","Tue Jan 20 06:20:15 UTC 2026","passed","Tue Jan 20 06:20:59 UTC 2026","tests.TimeIntervalPannelTest","Браузер Edge","tests.TimeIntervalPannelTest","testPartialPathAndFillOthersAndOk"
"Текущий пароль указан неверно при смене пароля","1611","testCurrentPasswordIncorrect","Мультибраузерное тестирование","Tue Jan 20 06:15:09 UTC 2026","passed","Tue Jan 20 06:15:11 UTC 2026","tests.SetNewPasswordTest","Браузер Edge","tests.SetNewPasswordTest","testCurrentPasswordIncorrect"
