"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"9","Модуль Схема","0","Окно Данные измерений","0","0","","0"
"0","Авторизация и аутентификация","3","Страница Логин","21","0","","0"
"12","Фильтры","0","Заполняем всю форму и применяем","0","0","","0"
"0","Модуль События","0","Рабочее окно","3","0","","0"
"0","Получение времени загрузки данных агрегата 4.2-2G28 на вкладке Схема","0","Время загрузки данных","15","0","","0"
"0","Авторизация и аутентификация","9","Страница Сменить пароль","24","0","","3"
"0","Статичные элементы","0","Панель временного интервала","27","0","","0"
"3","Модуль Журнал","0","Рабочее окно","0","0","","0"
"0","Безопасность","0","SQL-injection","6","0","","0"
"3","Модуль Схема","0","Окно Состояние и прогнозирование","0","0","","0"
"0","Фильтры","3","Фильтрация по кнопкам","0","0","","0"
"3","Модуль Аналитика","0","Рабочее окно","0","0","","0"
"6","Модуль Схема","0","Рабочая область","0","0","","0"
"3","Модуль Схема","0","Окно Табличные данные","0","0","","0"
