"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Переход по кнопке 'Сменить пароль'","331","testClickChangePasswordButton","Мультибраузерное тестирование","Fri Oct 24 16:17:27 UTC 2025","passed","Fri Oct 24 16:17:27 UTC 2025","tests.AuthLoginTest","Браузер Chrome","tests.AuthLoginTest","testClickChangePasswordButton"
"Переключение языка на форме смены пароля","1701","testSwitchLanguage","Мультибраузерное тестирование","Fri Oct 24 16:58:53 UTC 2025","passed","Fri Oct 24 16:58:55 UTC 2025","tests.SetNewPasswordTest","Браузер Edge","tests.SetNewPasswordTest","testSwitchLanguage"
"Проверить, что можно выбрать интервал 'За сутки'","13545","testSelectFullDay","Мультибраузерное тестирование","Fri Oct 24 17:37:07 UTC 2025","passed","Fri Oct 24 17:37:21 UTC 2025","tests.TimeIntervalPannelTest","Браузер Yandex","tests.TimeIntervalPannelTest","testSelectFullDay"
"Попытка SQL-injection в поля логина/пароля не должна приводить к успешной аутентификации","1553","testSqlInjectionDoesNotBypassAuthentication","Мультибраузерное тестирование","Fri Oct 24 16:18:45 UTC 2025","passed","Fri Oct 24 16:18:46 UTC 2025","tests.SecuritySqlInjectionTest","Браузер Chrome","tests.SecuritySqlInjectionTest","testSqlInjectionDoesNotBypassAuthentication"
"Проверить, что по умолчанию указывается временной интервал 'За смену (8 часов)'","9954","testDefaultTimeIntervalIsWorkDay","Мультибраузерное тестирование","Fri Oct 24 16:20:08 UTC 2025","passed","Fri Oct 24 16:20:18 UTC 2025","tests.TimeIntervalPannelTest","Браузер Chrome","tests.TimeIntervalPannelTest","testDefaultTimeIntervalIsWorkDay"
"Проверить, что при открытии выпадающего списка отображаются все ожидаемые варианты","8493","testDropdownContainsAllExpectedOptions","Мультибраузерное тестирование","Fri Oct 24 17:36:27 UTC 2025","passed","Fri Oct 24 17:36:36 UTC 2025","tests.TimeIntervalPannelTest","Браузер Yandex","tests.TimeIntervalPannelTest","testDropdownContainsAllExpectedOptions"
"Проверить, что можно выбрать интервал 'За смену (8 часов)'","14885","testSelectWorkDay","Мультибраузерное тестирование","Fri Oct 24 16:24:32 UTC 2025","passed","Fri Oct 24 16:24:47 UTC 2025","tests.TimeIntervalPannelTest","Браузер Chrome","tests.TimeIntervalPannelTest","testSelectWorkDay"
"Проверка видимости пароля (иконка 'глаз') на странице Login","2677","testCheckingPasswordVisibility","Мультибраузерное тестирование","Fri Oct 24 17:33:23 UTC 2025","passed","Fri Oct 24 17:33:26 UTC 2025","tests.AuthLoginTest","Браузер Yandex","tests.AuthLoginTest","testCheckingPasswordVisibility"
"","13056","testReceivingDataForShiftSchema5min","Мультибраузерное тестирование","Fri Oct 24 17:05:55 UTC 2025","broken","Fri Oct 24 17:06:08 UTC 2025","tests.GettingAggregateDataLoadTimeTest","Браузер Edge","tests.GettingAggregateDataLoadTimeTest","testReceivingDataForShiftSchema5min"
"","586132","testReceivingDataForShiftSchemaMonth","Мультибраузерное тестирование","Fri Oct 24 17:16:30 UTC 2025","passed","Fri Oct 24 17:26:16 UTC 2025","tests.GettingAggregateDataLoadTimeTest","Браузер Edge","tests.GettingAggregateDataLoadTimeTest","testReceivingDataForShiftSchemaMonth"
"","12329","testReceivingDataForShiftSchemaHour","Мультибраузерное тестирование","Fri Oct 24 16:39:25 UTC 2025","broken","Fri Oct 24 16:39:37 UTC 2025","tests.GettingAggregateDataLoadTimeTest","Браузер Chrome","tests.GettingAggregateDataLoadTimeTest","testReceivingDataForShiftSchemaHour"
"Переход по кнопке 'Сменить пароль'","280","testClickChangePasswordButton","Мультибраузерное тестирование","Fri Oct 24 17:33:52 UTC 2025","passed","Fri Oct 24 17:33:53 UTC 2025","tests.AuthLoginTest","Браузер Yandex","tests.AuthLoginTest","testClickChangePasswordButton"
"Проверка видимости пароля (иконка 'глаз') для поля Новый пароль на странице Cменить пароль","2791","testCheckingNewPasswordVisibility","Мультибраузерное тестирование","Fri Oct 24 17:35:36 UTC 2025","passed","Fri Oct 24 17:35:39 UTC 2025","tests.SetNewPasswordTest","Браузер Yandex","tests.SetNewPasswordTest","testCheckingNewPasswordVisibility"
