"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Клик по лого на странице Login","1626","testClickLogo","Мультибраузерное тестирование","Mon Oct 20 07:09:28 UTC 2025","passed","Mon Oct 20 07:09:30 UTC 2025","tests.AuthLoginTest","Браузер Chrome","tests.AuthLoginTest","testClickLogo"
"Переключения языка (RU/EN)","1667","testSwitchLanguage","Мультибраузерное тестирование","Mon Oct 20 07:10:46 UTC 2025","passed","Mon Oct 20 07:10:48 UTC 2025","tests.AuthLoginTest","Браузер Chrome","tests.AuthLoginTest","testSwitchLanguage"
"Переход по кнопке 'Сменить пароль'","269","testClickChangePasswordButton","Мультибраузерное тестирование","Mon Oct 20 07:13:41 UTC 2025","passed","Mon Oct 20 07:13:41 UTC 2025","tests.AuthLoginTest","Браузер Yandex","tests.AuthLoginTest","testClickChangePasswordButton"
"Ввод неверного логина или пароля","944","testEnterIncorrectLoginOrPassword","Мультибраузерное тестирование","Mon Oct 20 07:12:04 UTC 2025","passed","Mon Oct 20 07:12:05 UTC 2025","tests.AuthLoginTest","Браузер Edge","tests.AuthLoginTest","testEnterIncorrectLoginOrPassword"
"Проверка видимости пароля (иконка 'глаз') на странице Login","2962","testCheckingPasswordVisibility","Мультибраузерное тестирование","Mon Oct 20 07:09:05 UTC 2025","passed","Mon Oct 20 07:09:08 UTC 2025","tests.AuthLoginTest","Браузер Chrome","tests.AuthLoginTest","testCheckingPasswordVisibility"
"Клик по лого на странице Login","175","testClickLogo","Мультибраузерное тестирование","Mon Oct 20 07:11:52 UTC 2025","passed","Mon Oct 20 07:11:52 UTC 2025","tests.AuthLoginTest","Браузер Edge","tests.AuthLoginTest","testClickLogo"
"Проверка видимости пароля (иконка 'глаз') на странице Login","2722","testCheckingPasswordVisibility","Мультибраузерное тестирование","Mon Oct 20 07:11:20 UTC 2025","passed","Mon Oct 20 07:11:23 UTC 2025","tests.AuthLoginTest","Браузер Edge","tests.AuthLoginTest","testCheckingPasswordVisibility"
"Вход с пустыми полями логина и пароля","939","testLoginWithEmptyUsernameAndPassword","Мультибраузерное тестирование","Mon Oct 20 07:12:29 UTC 2025","passed","Mon Oct 20 07:12:30 UTC 2025","tests.AuthLoginTest","Браузер Edge","tests.AuthLoginTest","testLoginWithEmptyUsernameAndPassword"
"Клик по лого на странице Login","171","testClickLogo","Мультибраузерное тестирование","Mon Oct 20 07:13:58 UTC 2025","passed","Mon Oct 20 07:13:59 UTC 2025","tests.AuthLoginTest","Браузер Yandex","tests.AuthLoginTest","testClickLogo"
"Введенные данные сохраняются в значение поля","1112","testEnteredDataSavedFieldValue","Мультибраузерное тестирование","Mon Oct 20 07:12:19 UTC 2025","passed","Mon Oct 20 07:12:20 UTC 2025","tests.AuthLoginTest","Браузер Edge","tests.AuthLoginTest","testEnteredDataSavedFieldValue"
"Введенные данные сохраняются в значение поля","1065","testEnteredDataSavedFieldValue","Мультибраузерное тестирование","Mon Oct 20 07:14:22 UTC 2025","passed","Mon Oct 20 07:14:23 UTC 2025","tests.AuthLoginTest","Браузер Yandex","tests.AuthLoginTest","testEnteredDataSavedFieldValue"
"Переход по кнопке 'Сменить пароль'","1026","testClickChangePasswordButton","Мультибраузерное тестирование","Mon Oct 20 07:09:19 UTC 2025","passed","Mon Oct 20 07:09:20 UTC 2025","tests.AuthLoginTest","Браузер Chrome","tests.AuthLoginTest","testClickChangePasswordButton"
"Вход с валидными логином и паролем","0","testLoginWithValidUsernameAndPassword","Мультибраузерное тестирование","Mon Oct 20 07:11:03 UTC 2025","unknown","Mon Oct 20 07:11:03 UTC 2025","tests.AuthLoginTest","Браузер Edge","tests.AuthLoginTest","testLoginWithValidUsernameAndPassword"
"Переключения языка (RU/EN)","1675","testSwitchLanguage","Мультибраузерное тестирование","Mon Oct 20 07:12:41 UTC 2025","passed","Mon Oct 20 07:12:43 UTC 2025","tests.AuthLoginTest","Браузер Edge","tests.AuthLoginTest","testSwitchLanguage"
"Переключения языка (RU/EN)","1562","testSwitchLanguage","Мультибраузерное тестирование","Mon Oct 20 07:14:44 UTC 2025","passed","Mon Oct 20 07:14:45 UTC 2025","tests.AuthLoginTest","Браузер Yandex","tests.AuthLoginTest","testSwitchLanguage"
"Вход с пустыми полями логина и пароля","934","testLoginWithEmptyUsernameAndPassword","Мультибраузерное тестирование","Mon Oct 20 07:14:36 UTC 2025","passed","Mon Oct 20 07:14:37 UTC 2025","tests.AuthLoginTest","Браузер Yandex","tests.AuthLoginTest","testLoginWithEmptyUsernameAndPassword"
"Попытка SQL-injection в поля логина/пароля не должна приводить к успешной аутентификации","1075","testSqlInjectionDoesNotBypassAuthentication","Мультибраузерное тестирование","Mon Oct 20 07:11:02 UTC 2025","passed","Mon Oct 20 07:11:03 UTC 2025","tests.SecuritySqlInjectionTest","Браузер Chrome","tests.SecuritySqlInjectionTest","testSqlInjectionDoesNotBypassAuthentication"
"Вход с пустыми полями логина и пароля","1307","testLoginWithEmptyUsernameAndPassword","Мультибраузерное тестирование","Mon Oct 20 07:10:33 UTC 2025","passed","Mon Oct 20 07:10:34 UTC 2025","tests.AuthLoginTest","Браузер Chrome","tests.AuthLoginTest","testLoginWithEmptyUsernameAndPassword"
"Переход по кнопке 'Сменить пароль'","280","testClickChangePasswordButton","Мультибраузерное тестирование","Mon Oct 20 07:11:35 UTC 2025","passed","Mon Oct 20 07:11:35 UTC 2025","tests.AuthLoginTest","Браузер Edge","tests.AuthLoginTest","testClickChangePasswordButton"
"Введенные данные сохраняются в значение поля","410","testEnteredDataSavedFieldValue","Мультибраузерное тестирование","Mon Oct 20 07:10:10 UTC 2025","passed","Mon Oct 20 07:10:11 UTC 2025","tests.AuthLoginTest","Браузер Chrome","tests.AuthLoginTest","testEnteredDataSavedFieldValue"
"Попытка SQL-injection в поля логина/пароля не должна приводить к успешной аутентификации","1393","testSqlInjectionDoesNotBypassAuthentication","Мультибраузерное тестирование","Mon Oct 20 07:12:51 UTC 2025","passed","Mon Oct 20 07:12:53 UTC 2025","tests.SecuritySqlInjectionTest","Браузер Edge","tests.SecuritySqlInjectionTest","testSqlInjectionDoesNotBypassAuthentication"
"Ввод неверного логина или пароля","1279","testEnterIncorrectLoginOrPassword","Мультибраузерное тестирование","Mon Oct 20 07:14:08 UTC 2025","passed","Mon Oct 20 07:14:09 UTC 2025","tests.AuthLoginTest","Браузер Yandex","tests.AuthLoginTest","testEnterIncorrectLoginOrPassword"
"Вход с валидными логином и паролем","0","testLoginWithValidUsernameAndPassword","Мультибраузерное тестирование","Mon Oct 20 07:12:53 UTC 2025","unknown","Mon Oct 20 07:12:53 UTC 2025","tests.AuthLoginTest","Браузер Yandex","tests.AuthLoginTest","testLoginWithValidUsernameAndPassword"
"Вход с валидными логином и паролем","1","testLoginWithValidUsernameAndPassword","Мультибраузерное тестирование","Mon Oct 20 07:08:46 UTC 2025","unknown","Mon Oct 20 07:08:46 UTC 2025","tests.AuthLoginTest","Браузер Chrome","tests.AuthLoginTest","testLoginWithValidUsernameAndPassword"
"Ввод неверного логина или пароля","947","testEnterIncorrectLoginOrPassword","Мультибраузерное тестирование","Mon Oct 20 07:09:38 UTC 2025","passed","Mon Oct 20 07:09:39 UTC 2025","tests.AuthLoginTest","Браузер Chrome","tests.AuthLoginTest","testEnterIncorrectLoginOrPassword"
"Попытка SQL-injection в поля логина/пароля не должна приводить к успешной аутентификации","1028","testSqlInjectionDoesNotBypassAuthentication","Мультибраузерное тестирование","Mon Oct 20 07:14:59 UTC 2025","failed","Mon Oct 20 07:15:00 UTC 2025","tests.SecuritySqlInjectionTest","Браузер Yandex","tests.SecuritySqlInjectionTest","testSqlInjectionDoesNotBypassAuthentication"
"Проверка видимости пароля (иконка 'глаз') на странице Login","3021","testCheckingPasswordVisibility","Мультибраузерное тестирование","Mon Oct 20 07:13:04 UTC 2025","passed","Mon Oct 20 07:13:07 UTC 2025","tests.AuthLoginTest","Браузер Yandex","tests.AuthLoginTest","testCheckingPasswordVisibility"
