"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Безопасность","0","SQL-injection","6","0","","0"
"0","Авторизация и аутентификация","0","Страница Сменить пароль","33","0","","3"
"1","Статичные элементы","0","Панель временного интервала","23","0","","0"
"2","Авторизация и аутентификация","0","Страница Логин","22","0","","0"
"1","Модуль Схема","0","Рабочая область","2","0","","0"
"2","Модуль Схема","0","Окно Данные измерений","1","0","","0"
"2","Модуль Схема","1","Данные измерений","3","0","","0"
"0","Модуль Схема","0","Окно Схема агрегата","3","0","","0"
