"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Переключение языка на форме смены пароля","1766","testSwitchLanguage","Мультибраузерное тестирование","Wed Apr 15 05:08:58 UTC 2026","passed","Wed Apr 15 05:09:00 UTC 2026","tests.SetNewPasswordTest","Браузер Edge","tests.SetNewPasswordTest","testSwitchLanguage"
"Повторное использование пароля при смене пароля","1753","testPasswordReuse","Мультибраузерное тестирование","Wed Apr 15 05:25:09 UTC 2026","failed","Wed Apr 15 05:25:11 UTC 2026","tests.SetNewPasswordTest","Браузер Yandex","tests.SetNewPasswordTest","testPasswordReuse"
"Клик по лого на странице Login","240","testClickLogo","Мультибраузерное тестирование","Wed Apr 15 05:15:47 UTC 2026","passed","Wed Apr 15 05:15:47 UTC 2026","tests.AuthLoginTest","Браузер Yandex","tests.AuthLoginTest","testClickLogo"
"Отображение подсказки под полем 'Текущий пароль' в форме смены пароля","336","testHelperCurrentPassword","Мультибраузерное тестирование","Wed Apr 15 05:08:04 UTC 2026","passed","Wed Apr 15 05:08:04 UTC 2026","tests.SetNewPasswordTest","Браузер Edge","tests.SetNewPasswordTest","testHelperCurrentPassword"
"Переход по кнопке 'Сменить пароль'","350","testClickChangePasswordButton","Мультибраузерное тестирование","Wed Apr 15 04:43:49 UTC 2026","passed","Wed Apr 15 04:43:50 UTC 2026","tests.AuthLoginTest","Браузер Chrome","tests.AuthLoginTest","testClickChangePasswordButton"
"Проверка поля Пароль на sql инъекцию на странице Логин","1508","testSqlInjectionFieldPassword","Мультибраузерное тестирование","Wed Apr 15 04:51:29 UTC 2026","passed","Wed Apr 15 04:51:30 UTC 2026","tests.SecuritySqlInjectionTest","Браузер Chrome","tests.SecuritySqlInjectionTest","testSqlInjectionFieldPassword"
"Вход с пустыми полями логина и пароля","1485","testLoginWithEmptyUsernameAndPassword","Мультибраузерное тестирование","Wed Apr 15 05:16:18 UTC 2026","passed","Wed Apr 15 05:16:19 UTC 2026","tests.AuthLoginTest","Браузер Yandex","tests.AuthLoginTest","testLoginWithEmptyUsernameAndPassword"
"Проверить, что по умолчанию указывается временной интервал 'За смену (8 часов)'","6084","testDefaultTimeIntervalIsWorkDay","Мультибраузерное тестирование","Wed Apr 15 05:09:08 UTC 2026","passed","Wed Apr 15 05:09:14 UTC 2026","tests.TimeIntervalPannelTest","Браузер Edge","tests.TimeIntervalPannelTest","testDefaultTimeIntervalIsWorkDay"
"1. Авторизовался в приложении
2. Выбрал временной интервал от 01-01-2020 23:00 до 07-10-2025 00:00
3. Перешел к станции БКПРУ-4
4. Выбрал второй фильтр
5. Выбрал третий фильтр
6. Выбрал первый фильтр","15893","testFilterButton","Мультибраузерное тестирование","Wed Apr 15 05:26:06 UTC 2026","failed","Wed Apr 15 05:26:22 UTC 2026","tests.TimeIntervalPannelTest","Браузер Yandex","tests.TimeIntervalPannelTest","testFilterButton"
"1. Авторизовался в приложении
2. Выбрал временной интервал от 01-01-2020 23:00 до 07-10-2025 00:00
3. Перешел к агрегату БКПРУ-4/СОФ/РВК ""Б""/Насосное оборудование/4.2-2G08
4. Модуль Схема окно Данные измерений вид График
5. Выбран параметр Замеры тип измерения Спектр
6. Выбран параметр Замеры тип измерения Форма сигнала
7. Выбран параметр Замеры тип измерения Тренд
8. Выбран параметр Замеры тип измерения Орбита","19033","testMeasurementDataGraphParametersMeasurementType","Мультибраузерное тестирование","Wed Apr 15 05:03:58 UTC 2026","broken","Wed Apr 15 05:04:17 UTC 2026","tests.SchemaTest","Браузер Edge","tests.SchemaTest","testMeasurementDataGraphParametersMeasurementType"
"Логин указан неверно при смене пароля","1764","testLoginIncorrect","Мультибраузерное тестирование","Wed Apr 15 04:52:25 UTC 2026","failed","Wed Apr 15 04:52:27 UTC 2026","tests.SetNewPasswordTest","Браузер Chrome","tests.SetNewPasswordTest","testLoginIncorrect"
"Клик по лого на странице Login","237","testClickLogo","Мультибраузерное тестирование","Wed Apr 15 04:59:48 UTC 2026","passed","Wed Apr 15 04:59:49 UTC 2026","tests.AuthLoginTest","Браузер Edge","tests.AuthLoginTest","testClickLogo"
"Переключения языка (RU/EN)","1836","testSwitchLanguage","Мультибраузерное тестирование","Wed Apr 15 04:44:47 UTC 2026","passed","Wed Apr 15 04:44:49 UTC 2026","tests.AuthLoginTest","Браузер Chrome","tests.AuthLoginTest","testSwitchLanguage"
"Переключение языка на форме смены пароля","1829","testSwitchLanguage","Мультибраузерное тестирование","Wed Apr 15 04:53:15 UTC 2026","passed","Wed Apr 15 04:53:17 UTC 2026","tests.SetNewPasswordTest","Браузер Chrome","tests.SetNewPasswordTest","testSwitchLanguage"
"Новый пароль не соответствует требованиям (например, без цифры или спецсимвола) при смене пароля","1121","testNewPasswordNotMeetRequirements","Мультибраузерное тестирование","Wed Apr 15 05:24:59 UTC 2026","passed","Wed Apr 15 05:25:00 UTC 2026","tests.SetNewPasswordTest","Браузер Yandex","tests.SetNewPasswordTest","testNewPasswordNotMeetRequirements"
"1. Авторизовался в приложении
2. Выбрал временной интервал от 01-01-2020 23:00 до 07-10-2025 00:00
3. Перешел к агрегату БКПРУ-4/СОФ/РВК ""Б""/Насосное оборудование/4.2-2G08
4. Модуль Схема окно Данные измерений вид График
5. Выбран параметр Замеры тип измерения Спектр
6. Выбран параметр Замеры тип измерения Форма сигнала
7. Выбран параметр Замеры тип измерения Тренд
8. Выбран параметр Замеры тип измерения Орбита","18778","testMeasurementDataGraphParametersMeasurementType","Мультибраузерное тестирование","Wed Apr 15 05:20:14 UTC 2026","broken","Wed Apr 15 05:20:33 UTC 2026","tests.SchemaTest","Браузер Yandex","tests.SchemaTest","testMeasurementDataGraphParametersMeasurementType"
"","18421","testGetDataUnitSchema","Мультибраузерное тестирование","Wed Apr 15 04:45:24 UTC 2026","passed","Wed Apr 15 04:45:43 UTC 2026","tests.GettingAggregateDataLoadTimeTest","Браузер Chrome","tests.GettingAggregateDataLoadTimeTest","testGetDataUnitSchema"
"Ввод неверного логина или пароля","1504","testEnterIncorrectLoginOrPassword","Мультибраузерное тестирование","Wed Apr 15 04:44:06 UTC 2026","failed","Wed Apr 15 04:44:08 UTC 2026","tests.AuthLoginTest","Браузер Chrome","tests.AuthLoginTest","testEnterIncorrectLoginOrPassword"
"1. Авторизовался в приложении
2. Выбрал временной интервал от 01-01-2020 23:00 до 07-10-2025 00:00
3. В меню Оборудование кликнул Список фильтров
4. Ввел частичный путь нажал ОК
5. Заполнил все остальные поля нажал ОК","21473","testPartialPathAndFillOthersAndOk","Мультибраузерное тестирование","Wed Apr 15 05:11:09 UTC 2026","broken","Wed Apr 15 05:11:30 UTC 2026","tests.TimeIntervalPannelTest","Браузер Edge","tests.TimeIntervalPannelTest","testPartialPathAndFillOthersAndOk"
"Клик по лого на странице Сменить пароль ","447","testClickLogo","Мультибраузерное тестирование","Wed Apr 15 04:51:59 UTC 2026","passed","Wed Apr 15 04:52:00 UTC 2026","tests.SetNewPasswordTest","Браузер Chrome","tests.SetNewPasswordTest","testClickLogo"
"1. Авторизовался в приложении
2. Выбрал временной интервал от 01-01-2020 23:00 до 07-10-2025 00:00
3. В меню Оборудование кликнул Список фильтров
4. Ввел частичный путь нажал ОК
5. Заполнил все остальные поля нажал ОК","22070","testPartialPathAndFillOthersAndOk","Мультибраузерное тестирование","Wed Apr 15 05:27:38 UTC 2026","broken","Wed Apr 15 05:28:00 UTC 2026","tests.TimeIntervalPannelTest","Браузер Yandex","tests.TimeIntervalPannelTest","testPartialPathAndFillOthersAndOk"
