"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"2","Авторизация и аутентификация","0","Страница Логин","22","0","","0"
"0","Авторизация и аутентификация","1","Страница Сменить пароль","32","0","","3"
"16","Статичные элементы","0","Панель временного интервала","11","0","","0"
"7","Модуль Схема","0","Окно Данные измерений","2","0","","0"
"2","Модуль Схема","1","Рабочая область","3","0","","0"
"0","Безопасность","0","SQL-injection","6","0","","0"
"2","Модуль Журнал","0","Рабочее окно","1","0","","0"
"2","Модуль Аналитика","0","Рабочее окно","1","0","","0"
"12","Фильтры","0","Заполняем всю форму и применяем","0","0","","0"
"7","Получение времени загрузки данных агрегата 4.2-2G28 на вкладке Схема","0","Время загрузки данных","8","0","","0"
"1","Модуль Схема","0","Окно Табличные данные","2","0","","0"
"2","Модуль События","0","Рабочее окно","1","0","","0"
"0","Фильтры","3","Фильтрация по кнопкам","0","0","","0"
"2","Модуль Схема","0","Окно Состояние и прогнозирование","1","0","","0"
