"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверить, что можно выбрать интервал 'За год'","6793","testSelectYear","Мультибраузерное тестирование","Mon Oct 27 19:52:52 UTC 2025","failed","Mon Oct 27 19:52:59 UTC 2025","tests.TimeIntervalPannelTest","Браузер Chrome","tests.TimeIntervalPannelTest","testSelectYear"
"Проверить, что можно выбрать интервал 'За месяц'","6753","testSelectMonth","Мультибраузерное тестирование","Mon Oct 27 19:58:44 UTC 2025","passed","Mon Oct 27 19:58:50 UTC 2025","tests.TimeIntervalPannelTest","Браузер Edge","tests.TimeIntervalPannelTest","testSelectMonth"
"Отображение подсказки под полем 'Текущий пароль' в форме смены пароля","291","testHelperCurrentPassword","Мультибраузерное тестирование","Mon Oct 27 20:02:04 UTC 2025","passed","Mon Oct 27 20:02:04 UTC 2025","tests.SetNewPasswordTest","Браузер Yandex","tests.SetNewPasswordTest","testHelperCurrentPassword"
"Введенные данные сохраняются в значение поля","423","testEnteredDataSavedFieldValue","Мультибраузерное тестирование","Mon Oct 27 19:54:11 UTC 2025","passed","Mon Oct 27 19:54:11 UTC 2025","tests.AuthLoginTest","Браузер Edge","tests.AuthLoginTest","testEnteredDataSavedFieldValue"
"Вход с валидными логином и паролем","1072","testLoginWithValidUsernameAndPassword","Мультибраузерное тестирование","Mon Oct 27 20:00:59 UTC 2025","passed","Mon Oct 27 20:01:00 UTC 2025","tests.AuthLoginTest","Браузер Yandex","tests.AuthLoginTest","testLoginWithValidUsernameAndPassword"
"Проверить, что можно выбрать интервал 'За сутки'","6761","testSelectFullDay","Мультибраузерное тестирование","Mon Oct 27 19:58:26 UTC 2025","passed","Mon Oct 27 19:58:32 UTC 2025","tests.TimeIntervalPannelTest","Браузер Edge","tests.TimeIntervalPannelTest","testSelectFullDay"
"Введенные данные сохраняются в значение поля","467","testEnteredDataSavedFieldValue","Мультибраузерное тестирование","Mon Oct 27 19:48:29 UTC 2025","passed","Mon Oct 27 19:48:29 UTC 2025","tests.AuthLoginTest","Браузер Chrome","tests.AuthLoginTest","testEnteredDataSavedFieldValue"
"Отображение подсказки под полем 'Текущий пароль' в форме смены пароля","288","testHelperCurrentPassword","Мультибраузерное тестирование","Mon Oct 27 19:50:26 UTC 2025","passed","Mon Oct 27 19:50:27 UTC 2025","tests.SetNewPasswordTest","Браузер Chrome","tests.SetNewPasswordTest","testHelperCurrentPassword"
"Вход с валидными логином и паролем","1094","testLoginWithValidUsernameAndPassword","Мультибраузерное тестирование","Mon Oct 27 19:48:52 UTC 2025","passed","Mon Oct 27 19:48:53 UTC 2025","tests.AuthLoginTest","Браузер Chrome","tests.AuthLoginTest","testLoginWithValidUsernameAndPassword"
"Проверка видимости пароля (иконка 'глаз') для поля Текущий пароль на странице Cменить пароль","11505","testCheckingCurrentPasswordVisibility","Мультибраузерное тестирование","Mon Oct 27 19:49:48 UTC 2025","broken","Mon Oct 27 19:49:59 UTC 2025","tests.SetNewPasswordTest","Браузер Chrome","tests.SetNewPasswordTest","testCheckingCurrentPasswordVisibility"
"Попытка SQL-injection в поля логина/пароля не должна приводить к успешной аутентификации","1606","testSqlInjectionDoesNotBypassAuthentication","Мультибраузерное тестирование","Mon Oct 27 19:49:38 UTC 2025","passed","Mon Oct 27 19:49:39 UTC 2025","tests.SecuritySqlInjectionTest","Браузер Chrome","tests.SecuritySqlInjectionTest","testSqlInjectionDoesNotBypassAuthentication"
"Проверка видимости пароля (иконка 'глаз') для поля Новый пароль на странице Cменить пароль","11550","testCheckingNewPasswordVisibility","Мультибраузерное тестирование","Mon Oct 27 20:01:44 UTC 2025","broken","Mon Oct 27 20:01:56 UTC 2025","tests.SetNewPasswordTest","Браузер Yandex","tests.SetNewPasswordTest","testCheckingNewPasswordVisibility"
"Вход с пустыми полями логина и пароля","1443","testLoginWithEmptyUsernameAndPassword","Мультибраузерное тестирование","Mon Oct 27 20:00:46 UTC 2025","passed","Mon Oct 27 20:00:48 UTC 2025","tests.AuthLoginTest","Браузер Yandex","tests.AuthLoginTest","testLoginWithEmptyUsernameAndPassword"
"Попытка SQL-injection в поля логина/пароля не должна приводить к успешной аутентификации","1549","testSqlInjectionDoesNotBypassAuthentication","Мультибраузерное тестирование","Mon Oct 27 20:01:16 UTC 2025","passed","Mon Oct 27 20:01:18 UTC 2025","tests.SecuritySqlInjectionTest","Браузер Yandex","tests.SecuritySqlInjectionTest","testSqlInjectionDoesNotBypassAuthentication"
"Переключение языка на форме смены пароля","1775","testSwitchLanguage","Мультибраузерное тестирование","Mon Oct 27 20:02:11 UTC 2025","passed","Mon Oct 27 20:02:13 UTC 2025","tests.SetNewPasswordTest","Браузер Yandex","tests.SetNewPasswordTest","testSwitchLanguage"
"Проверить, что можно выбрать интервал 'За выбранный интервал'","6783","testSelectCustomRange","Мультибраузерное тестирование","Mon Oct 27 20:02:39 UTC 2025","passed","Mon Oct 27 20:02:45 UTC 2025","tests.TimeIntervalPannelTest","Браузер Yandex","tests.TimeIntervalPannelTest","testSelectCustomRange"
"Проверить, что можно выбрать интервал 'За сутки'","6759","testSelectFullDay","Мультибраузерное тестирование","Mon Oct 27 20:02:58 UTC 2025","passed","Mon Oct 27 20:03:05 UTC 2025","tests.TimeIntervalPannelTest","Браузер Yandex","tests.TimeIntervalPannelTest","testSelectFullDay"
"Переключения языка (RU/EN)","1639","testSwitchLanguage","Мультибраузерное тестирование","Mon Oct 27 19:54:40 UTC 2025","passed","Mon Oct 27 19:54:42 UTC 2025","tests.AuthLoginTest","Браузер Edge","tests.AuthLoginTest","testSwitchLanguage"
"Клик по лого на странице Login","218","testClickLogo","Мультибраузерное тестирование","Mon Oct 27 19:47:37 UTC 2025","passed","Mon Oct 27 19:47:37 UTC 2025","tests.AuthLoginTest","Браузер Chrome","tests.AuthLoginTest","testClickLogo"
"Проверить, что можно выбрать интервал 'За выбранный интервал'","2671","testSelectCustomRange","Мультибраузерное тестирование","Mon Oct 27 19:58:11 UTC 2025","broken","Mon Oct 27 19:58:14 UTC 2025","tests.TimeIntervalPannelTest","Браузер Edge","tests.TimeIntervalPannelTest","testSelectCustomRange"
"Проверить, что можно выбрать интервал 'За смену (8 часов)'","7579","testSelectWorkDay","Мультибраузерное тестирование","Mon Oct 27 19:59:15 UTC 2025","passed","Mon Oct 27 19:59:23 UTC 2025","tests.TimeIntervalPannelTest","Браузер Edge","tests.TimeIntervalPannelTest","testSelectWorkDay"
"Проверить, что при открытии выпадающего списка отображаются все ожидаемые варианты","10057","testDropdownContainsAllExpectedOptions","Мультибраузерное тестирование","Mon Oct 27 19:57:53 UTC 2025","broken","Mon Oct 27 19:58:03 UTC 2025","tests.TimeIntervalPannelTest","Браузер Edge","tests.TimeIntervalPannelTest","testDropdownContainsAllExpectedOptions"
"Проверить, что при открытии выпадающего списка отображаются все ожидаемые варианты","2295","testDropdownContainsAllExpectedOptions","Мультибраузерное тестирование","Mon Oct 27 19:51:02 UTC 2025","passed","Mon Oct 27 19:51:05 UTC 2025","tests.TimeIntervalPannelTest","Браузер Chrome","tests.TimeIntervalPannelTest","testDropdownContainsAllExpectedOptions"
"Переход по кнопке 'Сменить пароль'","295","testClickChangePasswordButton","Мультибраузерное тестирование","Mon Oct 27 20:00:08 UTC 2025","passed","Mon Oct 27 20:00:08 UTC 2025","tests.AuthLoginTest","Браузер Yandex","tests.AuthLoginTest","testClickChangePasswordButton"
"Переключения языка (RU/EN)","1661","testSwitchLanguage","Мультибраузерное тестирование","Mon Oct 27 19:49:26 UTC 2025","passed","Mon Oct 27 19:49:27 UTC 2025","tests.AuthLoginTest","Браузер Chrome","tests.AuthLoginTest","testSwitchLanguage"
"Проверка видимости пароля (иконка 'глаз') на странице Login","11423","testCheckingPasswordVisibility","Мультибраузерное тестирование","Mon Oct 27 19:59:49 UTC 2025","broken","Mon Oct 27 20:00:00 UTC 2025","tests.AuthLoginTest","Браузер Yandex","tests.AuthLoginTest","testCheckingPasswordVisibility"
"Проверить, что можно выбрать интервал 'За год'","6759","testSelectYear","Мультибраузерное тестирование","Mon Oct 27 20:04:14 UTC 2025","failed","Mon Oct 27 20:04:20 UTC 2025","tests.TimeIntervalPannelTest","Браузер Yandex","tests.TimeIntervalPannelTest","testSelectYear"
"Проверить, что можно выбрать интервал 'За выбранный интервал'","6817","testSelectCustomRange","Мультибраузерное тестирование","Mon Oct 27 19:51:13 UTC 2025","passed","Mon Oct 27 19:51:20 UTC 2025","tests.TimeIntervalPannelTest","Браузер Chrome","tests.TimeIntervalPannelTest","testSelectCustomRange"
"Проверить, что можно выбрать интервал 'За неделю'","6772","testSelectWeek","Мультибраузерное тестирование","Mon Oct 27 19:59:00 UTC 2025","passed","Mon Oct 27 19:59:07 UTC 2025","tests.TimeIntervalPannelTest","Браузер Edge","tests.TimeIntervalPannelTest","testSelectWeek"
"Вход с пустыми полями логина и пароля","1455","testLoginWithEmptyUsernameAndPassword","Мультибраузерное тестирование","Mon Oct 27 19:54:19 UTC 2025","passed","Mon Oct 27 19:54:21 UTC 2025","tests.AuthLoginTest","Браузер Edge","tests.AuthLoginTest","testLoginWithEmptyUsernameAndPassword"
"Клик по лого на странице Login","198","testClickLogo","Мультибраузерное тестирование","Mon Oct 27 19:53:42 UTC 2025","passed","Mon Oct 27 19:53:43 UTC 2025","tests.AuthLoginTest","Браузер Edge","tests.AuthLoginTest","testClickLogo"
"Проверить, что можно выбрать интервал 'За месяц'","6788","testSelectMonth","Мультибраузерное тестирование","Mon Oct 27 19:51:43 UTC 2025","passed","Mon Oct 27 19:51:50 UTC 2025","tests.TimeIntervalPannelTest","Браузер Chrome","tests.TimeIntervalPannelTest","testSelectMonth"
"Ввод неверного логина или пароля","1461","testEnterIncorrectLoginOrPassword","Мультибраузерное тестирование","Mon Oct 27 19:53:51 UTC 2025","passed","Mon Oct 27 19:53:53 UTC 2025","tests.AuthLoginTest","Браузер Edge","tests.AuthLoginTest","testEnterIncorrectLoginOrPassword"
"Переход по кнопке 'Сменить пароль'","328","testClickChangePasswordButton","Мультибраузерное тестирование","Mon Oct 27 19:46:50 UTC 2025","passed","Mon Oct 27 19:46:50 UTC 2025","tests.AuthLoginTest","Браузер Chrome","tests.AuthLoginTest","testClickChangePasswordButton"
"Проверить, что по умолчанию указывается временной интервал 'За смену (8 часов)'","1520","testDefaultTimeIntervalIsWorkDay","Мультибраузерное тестирование","Mon Oct 27 19:50:48 UTC 2025","passed","Mon Oct 27 19:50:50 UTC 2025","tests.TimeIntervalPannelTest","Браузер Chrome","tests.TimeIntervalPannelTest","testDefaultTimeIntervalIsWorkDay"
"Ввод неверного логина или пароля","1501","testEnterIncorrectLoginOrPassword","Мультибраузерное тестирование","Mon Oct 27 19:47:55 UTC 2025","passed","Mon Oct 27 19:47:57 UTC 2025","tests.AuthLoginTest","Браузер Chrome","tests.AuthLoginTest","testEnterIncorrectLoginOrPassword"
"Проверка видимости пароля (иконка 'глаз') для поля Новый пароль на странице Cменить пароль","11559","testCheckingNewPasswordVisibility","Мультибраузерное тестирование","Mon Oct 27 19:50:07 UTC 2025","broken","Mon Oct 27 19:50:19 UTC 2025","tests.SetNewPasswordTest","Браузер Chrome","tests.SetNewPasswordTest","testCheckingNewPasswordVisibility"
"Ввод неверного логина или пароля","1446","testEnterIncorrectLoginOrPassword","Мультибраузерное тестирование","Mon Oct 27 20:00:26 UTC 2025","passed","Mon Oct 27 20:00:28 UTC 2025","tests.AuthLoginTest","Браузер Yandex","tests.AuthLoginTest","testEnterIncorrectLoginOrPassword"
"Проверить, что по умолчанию указывается временной интервал 'За смену (8 часов)'","32677","testDefaultTimeIntervalIsWorkDay","Мультибраузерное тестирование","Mon Oct 27 19:57:08 UTC 2025","broken","Mon Oct 27 19:57:41 UTC 2025","tests.TimeIntervalPannelTest","Браузер Edge","tests.TimeIntervalPannelTest","testDefaultTimeIntervalIsWorkDay"
"Проверить, что по умолчанию указывается временной интервал 'За смену (8 часов)'","1486","testDefaultTimeIntervalIsWorkDay","Мультибраузерное тестирование","Mon Oct 27 20:02:20 UTC 2025","passed","Mon Oct 27 20:02:22 UTC 2025","tests.TimeIntervalPannelTest","Браузер Yandex","tests.TimeIntervalPannelTest","testDefaultTimeIntervalIsWorkDay"
"Проверить, что можно выбрать интервал 'За сутки'","6797","testSelectFullDay","Мультибраузерное тестирование","Mon Oct 27 19:51:29 UTC 2025","passed","Mon Oct 27 19:51:36 UTC 2025","tests.TimeIntervalPannelTest","Браузер Chrome","tests.TimeIntervalPannelTest","testSelectFullDay"
"Проверить, что можно выбрать интервал 'За месяц'","6751","testSelectMonth","Мультибраузерное тестирование","Mon Oct 27 20:03:30 UTC 2025","passed","Mon Oct 27 20:03:36 UTC 2025","tests.TimeIntervalPannelTest","Браузер Yandex","tests.TimeIntervalPannelTest","testSelectMonth"
"Клик по лого на странице Login","189","testClickLogo","Мультибраузерное тестирование","Mon Oct 27 20:00:16 UTC 2025","passed","Mon Oct 27 20:00:16 UTC 2025","tests.AuthLoginTest","Браузер Yandex","tests.AuthLoginTest","testClickLogo"
"Проверка видимости пароля (иконка 'глаз') на странице Login","11632","testCheckingPasswordVisibility","Мультибраузерное тестирование","Mon Oct 27 19:46:18 UTC 2025","broken","Mon Oct 27 19:46:29 UTC 2025","tests.AuthLoginTest","Браузер Chrome","tests.AuthLoginTest","testCheckingPasswordVisibility"
"Вход с пустыми полями логина и пароля","1479","testLoginWithEmptyUsernameAndPassword","Мультибраузерное тестирование","Mon Oct 27 19:48:37 UTC 2025","passed","Mon Oct 27 19:48:39 UTC 2025","tests.AuthLoginTest","Браузер Chrome","tests.AuthLoginTest","testLoginWithEmptyUsernameAndPassword"
"Проверить, что при открытии выпадающего списка отображаются все ожидаемые варианты","1696","testDropdownContainsAllExpectedOptions","Мультибраузерное тестирование","Mon Oct 27 20:02:30 UTC 2025","passed","Mon Oct 27 20:02:32 UTC 2025","tests.TimeIntervalPannelTest","Браузер Yandex","tests.TimeIntervalPannelTest","testDropdownContainsAllExpectedOptions"
"Переход по кнопке 'Сменить пароль'","294","testClickChangePasswordButton","Мультибраузерное тестирование","Mon Oct 27 19:53:35 UTC 2025","passed","Mon Oct 27 19:53:35 UTC 2025","tests.AuthLoginTest","Браузер Edge","tests.AuthLoginTest","testClickChangePasswordButton"
"Проверить, что можно выбрать интервал 'За смену (8 часов)'","7281","testSelectWorkDay","Мультибраузерное тестирование","Mon Oct 27 20:03:58 UTC 2025","passed","Mon Oct 27 20:04:05 UTC 2025","tests.TimeIntervalPannelTest","Браузер Yandex","tests.TimeIntervalPannelTest","testSelectWorkDay"
"Попытка SQL-injection в поля логина/пароля не должна приводить к успешной аутентификации","1564","testSqlInjectionDoesNotBypassAuthentication","Мультибраузерное тестирование","Mon Oct 27 19:54:56 UTC 2025","passed","Mon Oct 27 19:54:58 UTC 2025","tests.SecuritySqlInjectionTest","Браузер Edge","tests.SecuritySqlInjectionTest","testSqlInjectionDoesNotBypassAuthentication"
