"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверить, что можно выбрать интервал 'За сутки'","7257","testSelectFullDay","Мультибраузерное тестирование","Wed Oct 22 16:47:55 UTC 2025","passed","Wed Oct 22 16:48:02 UTC 2025","tests.TimeIntervalPannelTest","Браузер Edge","tests.TimeIntervalPannelTest","testSelectFullDay"
"Проверка видимости пароля (иконка 'глаз') на странице Login","2714","testCheckingPasswordVisibility","Мультибраузерное тестирование","Wed Oct 22 16:45:54 UTC 2025","passed","Wed Oct 22 16:45:57 UTC 2025","tests.AuthLoginTest","Браузер Edge","tests.AuthLoginTest","testCheckingPasswordVisibility"
"Переключения языка (RU/EN)","1766","testSwitchLanguage","Мультибраузерное тестирование","Wed Oct 22 16:42:55 UTC 2025","passed","Wed Oct 22 16:42:57 UTC 2025","tests.AuthLoginTest","Браузер Chrome","tests.AuthLoginTest","testSwitchLanguage"
"Клик по лого на странице Login","197","testClickLogo","Мультибраузерное тестирование","Wed Oct 22 16:42:15 UTC 2025","passed","Wed Oct 22 16:42:15 UTC 2025","tests.AuthLoginTest","Браузер Chrome","tests.AuthLoginTest","testClickLogo"
"Проверить, что можно выбрать интервал 'За месяц'","6745","testSelectMonth","Мультибраузерное тестирование","Wed Oct 22 16:51:49 UTC 2025","passed","Wed Oct 22 16:51:56 UTC 2025","tests.TimeIntervalPannelTest","Браузер Yandex","tests.TimeIntervalPannelTest","testSelectMonth"
"Вход с валидными логином и паролем","0","testLoginWithValidUsernameAndPassword","Мультибраузерное тестирование","Wed Oct 22 16:45:41 UTC 2025","unknown","Wed Oct 22 16:45:41 UTC 2025","tests.AuthLoginTest","Браузер Edge","tests.AuthLoginTest","testLoginWithValidUsernameAndPassword"
"Проверить, что можно выбрать интервал 'За год'","7293","testSelectYear","Мультибраузерное тестирование","Wed Oct 22 16:52:38 UTC 2025","passed","Wed Oct 22 16:52:46 UTC 2025","tests.TimeIntervalPannelTest","Браузер Yandex","tests.TimeIntervalPannelTest","testSelectYear"
"Клик по лого на странице Login","181","testClickLogo","Мультибраузерное тестирование","Wed Oct 22 16:46:17 UTC 2025","passed","Wed Oct 22 16:46:17 UTC 2025","tests.AuthLoginTest","Браузер Edge","tests.AuthLoginTest","testClickLogo"
"Ввод неверного логина или пароля","1444","testEnterIncorrectLoginOrPassword","Мультибраузерное тестирование","Wed Oct 22 16:46:29 UTC 2025","passed","Wed Oct 22 16:46:31 UTC 2025","tests.AuthLoginTest","Браузер Edge","tests.AuthLoginTest","testEnterIncorrectLoginOrPassword"
"Переход по кнопке 'Сменить пароль'","290","testClickChangePasswordButton","Мультибраузерное тестирование","Wed Oct 22 16:49:23 UTC 2025","passed","Wed Oct 22 16:49:23 UTC 2025","tests.AuthLoginTest","Браузер Yandex","tests.AuthLoginTest","testClickChangePasswordButton"
"Вход с валидными логином и паролем","1","testLoginWithValidUsernameAndPassword","Мультибраузерное тестирование","Wed Oct 22 16:41:39 UTC 2025","unknown","Wed Oct 22 16:41:39 UTC 2025","tests.AuthLoginTest","Браузер Chrome","tests.AuthLoginTest","testLoginWithValidUsernameAndPassword"
"Проверить, что по умолчанию указывается временной интервал 'За смену (8 часов)'","1512","testDefaultTimeIntervalIsWorkDay","Мультибраузерное тестирование","Wed Oct 22 16:43:19 UTC 2025","passed","Wed Oct 22 16:43:21 UTC 2025","tests.TimeIntervalPannelTest","Браузер Chrome","tests.TimeIntervalPannelTest","testDefaultTimeIntervalIsWorkDay"
