"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Попытка SQL-injection в поля логина/пароля не должна приводить к успешной аутентификации","1558","testSqlInjectionDoesNotBypassAuthentication","Мультибраузерное тестирование","Mon May 18 06:41:37 UTC 2026","passed","Mon May 18 06:41:38 UTC 2026","tests.SecuritySqlInjectionTest","Браузер Yandex","tests.SecuritySqlInjectionTest","testSqlInjectionDoesNotBypassAuthentication"
"","10624","testGetDataUnitSchema","Мультибраузерное тестирование","Mon May 18 06:11:17 UTC 2026","broken","Mon May 18 06:11:27 UTC 2026","tests.GettingAggregateDataLoadTimeTest","Браузер Chrome","tests.GettingAggregateDataLoadTimeTest","testGetDataUnitSchema"
"Логин указан неверно при смене пароля","1660","testLoginIncorrect","Мультибраузерное тестирование","Mon May 18 06:28:49 UTC 2026","failed","Mon May 18 06:28:51 UTC 2026","tests.SetNewPasswordTest","Браузер Edge","tests.SetNewPasswordTest","testLoginIncorrect"
"Проверить, что можно выбрать интервал 'За месяц'","10556","testSelectMonth","Мультибраузерное тестирование","Mon May 18 06:32:48 UTC 2026","broken","Mon May 18 06:32:59 UTC 2026","tests.TimeIntervalPannelTest","Браузер Edge","tests.TimeIntervalPannelTest","testSelectMonth"
"Переход по кнопке 'Сменить пароль'","323","testClickChangePasswordButton","Мультибраузерное тестирование","Mon May 18 06:09:11 UTC 2026","passed","Mon May 18 06:09:11 UTC 2026","tests.AuthLoginTest","Браузер Chrome","tests.AuthLoginTest","testClickChangePasswordButton"
"Переключения языка (RU/EN)","1821","testSwitchLanguage","Мультибраузерное тестирование","Mon May 18 06:10:23 UTC 2026","passed","Mon May 18 06:10:25 UTC 2026","tests.AuthLoginTest","Браузер Chrome","tests.AuthLoginTest","testSwitchLanguage"
"Проверить, что можно выбрать интервал 'За сутки'","10584","testSelectFullDay","Мультибраузерное тестирование","Mon May 18 06:20:10 UTC 2026","broken","Mon May 18 06:20:21 UTC 2026","tests.TimeIntervalPannelTest","Браузер Chrome","tests.TimeIntervalPannelTest","testSelectFullDay"
"Повторное использование пароля при смене пароля","1677","testPasswordReuse","Мультибраузерное тестирование","Mon May 18 06:29:15 UTC 2026","failed","Mon May 18 06:29:17 UTC 2026","tests.SetNewPasswordTest","Браузер Edge","tests.SetNewPasswordTest","testPasswordReuse"
"","10567","testGetDataUnitSchema","Мультибраузерное тестирование","Mon May 18 06:24:01 UTC 2026","broken","Mon May 18 06:24:12 UTC 2026","tests.GettingAggregateDataLoadTimeTest","Браузер Edge","tests.GettingAggregateDataLoadTimeTest","testGetDataUnitSchema"
"1. Авторизовался в приложении
2. Выбрал временной интервал от 01-01-2020 23:00 до 07-10-2025 00:00
3. В меню Оборудование кликнул Список фильтров
4. Ввел частичный путь нажал ОК
5. Заполнил все остальные поля нажал ОК","10584","testPartialPathAndFillOthersAndOk","Мультибраузерное тестирование","Mon May 18 06:18:35 UTC 2026","broken","Mon May 18 06:18:45 UTC 2026","tests.TimeIntervalPannelTest","Браузер Chrome","tests.TimeIntervalPannelTest","testPartialPathAndFillOthersAndOk"
"Повторное использование пароля при смене пароля","1696","testPasswordReuse","Мультибраузерное тестирование","Mon May 18 06:43:23 UTC 2026","failed","Mon May 18 06:43:25 UTC 2026","tests.SetNewPasswordTest","Браузер Yandex","tests.SetNewPasswordTest","testPasswordReuse"
"Клик по лого на странице Сменить пароль ","389","testClickLogo","Мультибраузерное тестирование","Mon May 18 06:42:26 UTC 2026","passed","Mon May 18 06:42:26 UTC 2026","tests.SetNewPasswordTest","Браузер Yandex","tests.SetNewPasswordTest","testClickLogo"
"1. Авторизовался в приложении
2. Выбрал временной интервал от 01-01-2020 23:00 до 07-10-2025 00:00
3. Перешел к станции БКПРУ-4/СОФ/РВК ""Б""/Насосное оборудование
4. Модуль Схема
5. Перешел в модуль Аналитика
6. Выбрал шаблон Статистика агрегатов по заключениям
7. Построены диаграммы
8. Выбрал тип отображения Таблица
9. Построены таблицы","11032","testDashboardDownloads","Мультибраузерное тестирование","Mon May 18 06:08:34 UTC 2026","broken","Mon May 18 06:08:45 UTC 2026","tests.AnalyticsTest","Браузер Chrome","tests.AnalyticsTest","testDashboardDownloads"
