"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Переключения языка (RU/EN)","835","testSwitchLanguage","Мультибраузерное тестирование","Sun Oct 12 16:31:30 UTC 2025","broken","Sun Oct 12 16:31:31 UTC 2025","tests.TestAuthLogin","Браузер Chrome","tests.TestAuthLogin","testSwitchLanguage"
"Ввод неверного логина или пароля","604","testEnterIncorrectLoginOrPassword","Мультибраузерное тестирование","Sun Oct 12 16:32:10 UTC 2025","passed","Sun Oct 12 16:32:10 UTC 2025","tests.TestAuthLogin","Браузер Edge","tests.TestAuthLogin","testEnterIncorrectLoginOrPassword"
"Введенные данные сохраняются в значение поля","416","testEnteredDataSavedFieldValue","Мультибраузерное тестирование","Sun Oct 12 16:30:59 UTC 2025","passed","Sun Oct 12 16:30:59 UTC 2025","tests.TestAuthLogin","Браузер Chrome","tests.TestAuthLogin","testEnteredDataSavedFieldValue"
"Вход с пустыми полями логина и пароля","428","testLoginWithEmptyUsernameAndPassword","Мультибраузерное тестирование","Sun Oct 12 16:32:30 UTC 2025","passed","Sun Oct 12 16:32:31 UTC 2025","tests.TestAuthLogin","Браузер Edge","tests.TestAuthLogin","testLoginWithEmptyUsernameAndPassword"
"Клик по лого на странице Login","191","testClickLogo","Мультибраузерное тестирование","Sun Oct 12 16:32:02 UTC 2025","broken","Sun Oct 12 16:32:02 UTC 2025","tests.TestAuthLogin","Браузер Edge","tests.TestAuthLogin","testClickLogo"
"Переход по кнопке 'Сменить пароль'","316","testClickChangePasswordButton","Мультибраузерное тестирование","Sun Oct 12 16:30:23 UTC 2025","passed","Sun Oct 12 16:30:24 UTC 2025","tests.TestAuthLogin","Браузер Chrome","tests.TestAuthLogin","testClickChangePasswordButton"
"Проверка видимости пароля (иконка 'глаз') на странице Login","2907","testCheckingPasswordVisibility","Мультибраузерное тестирование","Sun Oct 12 16:30:08 UTC 2025","passed","Sun Oct 12 16:30:11 UTC 2025","tests.TestAuthLogin","Браузер Chrome","tests.TestAuthLogin","testCheckingPasswordVisibility"
"Вход с пустыми полями логина и пароля","456","testLoginWithEmptyUsernameAndPassword","Мультибраузерное тестирование","Sun Oct 12 16:31:09 UTC 2025","passed","Sun Oct 12 16:31:09 UTC 2025","tests.TestAuthLogin","Браузер Chrome","tests.TestAuthLogin","testLoginWithEmptyUsernameAndPassword"
"Переход по кнопке 'Сменить пароль'","282","testClickChangePasswordButton","Мультибраузерное тестирование","Sun Oct 12 16:31:49 UTC 2025","passed","Sun Oct 12 16:31:50 UTC 2025","tests.TestAuthLogin","Браузер Edge","tests.TestAuthLogin","testClickChangePasswordButton"
"Проверка видимости пароля (иконка 'глаз') на странице Login","2746","testCheckingPasswordVisibility","Мультибраузерное тестирование","Sun Oct 12 16:31:39 UTC 2025","passed","Sun Oct 12 16:31:42 UTC 2025","tests.TestAuthLogin","Браузер Edge","tests.TestAuthLogin","testCheckingPasswordVisibility"
"Ввод неверного логина или пароля","609","testEnterIncorrectLoginOrPassword","Мультибраузерное тестирование","Sun Oct 12 16:30:50 UTC 2025","passed","Sun Oct 12 16:30:51 UTC 2025","tests.TestAuthLogin","Браузер Chrome","tests.TestAuthLogin","testEnterIncorrectLoginOrPassword"
