"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Вход с валидными логином и паролем","0","testLoginWithValidUsernameAndPassword","Мультибраузерное тестирование","Mon Oct 20 07:33:58 UTC 2025","unknown","Mon Oct 20 07:33:58 UTC 2025","tests.AuthLoginTest","Браузер Edge","tests.AuthLoginTest","testLoginWithValidUsernameAndPassword"
"Введенные данные сохраняются в значение поля","1012","testEnteredDataSavedFieldValue","Мультибраузерное тестирование","Mon Oct 20 07:35:38 UTC 2025","passed","Mon Oct 20 07:35:39 UTC 2025","tests.AuthLoginTest","Браузер Edge","tests.AuthLoginTest","testEnteredDataSavedFieldValue"
"Проверка видимости пароля (иконка 'глаз') на странице Login","3314","testCheckingPasswordVisibility","Мультибраузерное тестирование","Mon Oct 20 07:34:20 UTC 2025","passed","Mon Oct 20 07:34:23 UTC 2025","tests.AuthLoginTest","Браузер Edge","tests.AuthLoginTest","testCheckingPasswordVisibility"
"Переключения языка (RU/EN)","1572","testSwitchLanguage","Мультибраузерное тестирование","Mon Oct 20 07:36:23 UTC 2025","passed","Mon Oct 20 07:36:25 UTC 2025","tests.AuthLoginTest","Браузер Edge","tests.AuthLoginTest","testSwitchLanguage"
"Клик по лого на странице Login","236","testClickLogo","Мультибраузерное тестирование","Mon Oct 20 07:37:34 UTC 2025","passed","Mon Oct 20 07:37:34 UTC 2025","tests.AuthLoginTest","Браузер Yandex","tests.AuthLoginTest","testClickLogo"
"Введенные данные сохраняются в значение поля","2563","testEnteredDataSavedFieldValue","Мультибраузерное тестирование","Mon Oct 20 07:31:27 UTC 2025","passed","Mon Oct 20 07:31:30 UTC 2025","tests.AuthLoginTest","Браузер Chrome","tests.AuthLoginTest","testEnteredDataSavedFieldValue"
"Переход по кнопке 'Сменить пароль'","364","testClickChangePasswordButton","Мультибраузерное тестирование","Mon Oct 20 07:30:39 UTC 2025","passed","Mon Oct 20 07:30:39 UTC 2025","tests.AuthLoginTest","Браузер Chrome","tests.AuthLoginTest","testClickChangePasswordButton"
"Попытка SQL-injection в поля логина/пароля не должна приводить к успешной аутентификации","1600","testSqlInjectionDoesNotBypassAuthentication","Мультибраузерное тестирование","Mon Oct 20 07:36:51 UTC 2025","passed","Mon Oct 20 07:36:53 UTC 2025","tests.SecuritySqlInjectionTest","Браузер Edge","tests.SecuritySqlInjectionTest","testSqlInjectionDoesNotBypassAuthentication"
"Проверка видимости пароля (иконка 'глаз') на странице Login","3364","testCheckingPasswordVisibility","Мультибраузерное тестирование","Mon Oct 20 07:30:26 UTC 2025","passed","Mon Oct 20 07:30:29 UTC 2025","tests.AuthLoginTest","Браузер Chrome","tests.AuthLoginTest","testCheckingPasswordVisibility"
"Вход с валидными логином и паролем","2","testLoginWithValidUsernameAndPassword","Мультибраузерное тестирование","Mon Oct 20 07:30:12 UTC 2025","unknown","Mon Oct 20 07:30:12 UTC 2025","tests.AuthLoginTest","Браузер Chrome","tests.AuthLoginTest","testLoginWithValidUsernameAndPassword"
"Клик по лого на странице Login","784","testClickLogo","Мультибраузерное тестирование","Mon Oct 20 07:30:56 UTC 2025","passed","Mon Oct 20 07:30:57 UTC 2025","tests.AuthLoginTest","Браузер Chrome","tests.AuthLoginTest","testClickLogo"
"Переход по кнопке 'Сменить пароль'","331","testClickChangePasswordButton","Мультибраузерное тестирование","Mon Oct 20 07:37:16 UTC 2025","passed","Mon Oct 20 07:37:16 UTC 2025","tests.AuthLoginTest","Браузер Yandex","tests.AuthLoginTest","testClickChangePasswordButton"
"Ввод неверного логина или пароля","5278","testEnterIncorrectLoginOrPassword","Мультибраузерное тестирование","Mon Oct 20 07:31:12 UTC 2025","passed","Mon Oct 20 07:31:17 UTC 2025","tests.AuthLoginTest","Браузер Chrome","tests.AuthLoginTest","testEnterIncorrectLoginOrPassword"
"Попытка SQL-injection в поля логина/пароля не должна приводить к успешной аутентификации","1574","testSqlInjectionDoesNotBypassAuthentication","Мультибраузерное тестирование","Mon Oct 20 07:38:57 UTC 2025","passed","Mon Oct 20 07:38:58 UTC 2025","tests.SecuritySqlInjectionTest","Браузер Yandex","tests.SecuritySqlInjectionTest","testSqlInjectionDoesNotBypassAuthentication"
"Вход с пустыми полями логина и пароля","1491","testLoginWithEmptyUsernameAndPassword","Мультибраузерное тестирование","Mon Oct 20 07:35:48 UTC 2025","passed","Mon Oct 20 07:35:49 UTC 2025","tests.AuthLoginTest","Браузер Edge","tests.AuthLoginTest","testLoginWithEmptyUsernameAndPassword"
"Ввод неверного логина или пароля","3322","testEnterIncorrectLoginOrPassword","Мультибраузерное тестирование","Mon Oct 20 07:35:27 UTC 2025","passed","Mon Oct 20 07:35:30 UTC 2025","tests.AuthLoginTest","Браузер Edge","tests.AuthLoginTest","testEnterIncorrectLoginOrPassword"
"Вход с пустыми полями логина и пароля","1479","testLoginWithEmptyUsernameAndPassword","Мультибраузерное тестирование","Mon Oct 20 07:38:23 UTC 2025","passed","Mon Oct 20 07:38:24 UTC 2025","tests.AuthLoginTest","Браузер Yandex","tests.AuthLoginTest","testLoginWithEmptyUsernameAndPassword"
"Попытка SQL-injection в поля логина/пароля не должна приводить к успешной аутентификации","2017","testSqlInjectionDoesNotBypassAuthentication","Мультибраузерное тестирование","Mon Oct 20 07:33:55 UTC 2025","passed","Mon Oct 20 07:33:57 UTC 2025","tests.SecuritySqlInjectionTest","Браузер Chrome","tests.SecuritySqlInjectionTest","testSqlInjectionDoesNotBypassAuthentication"
"Переход по кнопке 'Сменить пароль'","321","testClickChangePasswordButton","Мультибраузерное тестирование","Mon Oct 20 07:35:00 UTC 2025","passed","Mon Oct 20 07:35:00 UTC 2025","tests.AuthLoginTest","Браузер Edge","tests.AuthLoginTest","testClickChangePasswordButton"
"Клик по лого на странице Login","234","testClickLogo","Мультибраузерное тестирование","Mon Oct 20 07:35:10 UTC 2025","passed","Mon Oct 20 07:35:10 UTC 2025","tests.AuthLoginTest","Браузер Edge","tests.AuthLoginTest","testClickLogo"
"Переключения языка (RU/EN)","3181","testSwitchLanguage","Мультибраузерное тестирование","Mon Oct 20 07:33:35 UTC 2025","passed","Mon Oct 20 07:33:39 UTC 2025","tests.AuthLoginTest","Браузер Chrome","tests.AuthLoginTest","testSwitchLanguage"
"Вход с валидными логином и паролем","0","testLoginWithValidUsernameAndPassword","Мультибраузерное тестирование","Mon Oct 20 07:36:53 UTC 2025","unknown","Mon Oct 20 07:36:53 UTC 2025","tests.AuthLoginTest","Браузер Yandex","tests.AuthLoginTest","testLoginWithValidUsernameAndPassword"
"Ввод неверного логина или пароля","1931","testEnterIncorrectLoginOrPassword","Мультибраузерное тестирование","Mon Oct 20 07:37:47 UTC 2025","passed","Mon Oct 20 07:37:49 UTC 2025","tests.AuthLoginTest","Браузер Yandex","tests.AuthLoginTest","testEnterIncorrectLoginOrPassword"
"Вход с пустыми полями логина и пароля","10057","testLoginWithEmptyUsernameAndPassword","Мультибраузерное тестирование","Mon Oct 20 07:33:12 UTC 2025","broken","Mon Oct 20 07:33:22 UTC 2025","tests.AuthLoginTest","Браузер Chrome","tests.AuthLoginTest","testLoginWithEmptyUsernameAndPassword"
"Проверка видимости пароля (иконка 'глаз') на странице Login","2749","testCheckingPasswordVisibility","Мультибраузерное тестирование","Mon Oct 20 07:37:00 UTC 2025","passed","Mon Oct 20 07:37:03 UTC 2025","tests.AuthLoginTest","Браузер Yandex","tests.AuthLoginTest","testCheckingPasswordVisibility"
"Переключения языка (RU/EN)","1542","testSwitchLanguage","Мультибраузерное тестирование","Mon Oct 20 07:38:37 UTC 2025","passed","Mon Oct 20 07:38:39 UTC 2025","tests.AuthLoginTest","Браузер Yandex","tests.AuthLoginTest","testSwitchLanguage"
"Введенные данные сохраняются в значение поля","446","testEnteredDataSavedFieldValue","Мультибраузерное тестирование","Mon Oct 20 07:38:01 UTC 2025","passed","Mon Oct 20 07:38:01 UTC 2025","tests.AuthLoginTest","Браузер Yandex","tests.AuthLoginTest","testEnteredDataSavedFieldValue"
