"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверить, что можно выбрать интервал 'За месяц'","9559","testSelectMonth","Мультибраузерное тестирование","Thu Oct 23 06:16:47 UTC 2025","passed","Thu Oct 23 06:16:56 UTC 2025","tests.TimeIntervalPannelTest","Браузер Chrome","tests.TimeIntervalPannelTest","testSelectMonth"
"Проверка видимости пароля (иконка 'глаз') для поля Текущий пароль на странице Cменить пароль","2858","testCheckingCurrentPasswordVisibility","Мультибраузерное тестирование","Thu Oct 23 06:23:45 UTC 2025","passed","Thu Oct 23 06:23:48 UTC 2025","tests.SetNewPasswordTest","Браузер Yandex","tests.SetNewPasswordTest","testCheckingCurrentPasswordVisibility"
"Вход с пустыми полями логина и пароля","1490","testLoginWithEmptyUsernameAndPassword","Мультибраузерное тестирование","Thu Oct 23 06:14:29 UTC 2025","passed","Thu Oct 23 06:14:30 UTC 2025","tests.AuthLoginTest","Браузер Chrome","tests.AuthLoginTest","testLoginWithEmptyUsernameAndPassword"
"Проверка видимости пароля (иконка 'глаз') на странице Login","2765","testCheckingPasswordVisibility","Мультибраузерное тестирование","Thu Oct 23 06:22:15 UTC 2025","passed","Thu Oct 23 06:22:18 UTC 2025","tests.AuthLoginTest","Браузер Yandex","tests.AuthLoginTest","testCheckingPasswordVisibility"
"Переключение языка на форме смены пароля","1816","testSwitchLanguage","Мультибраузерное тестирование","Thu Oct 23 06:20:09 UTC 2025","passed","Thu Oct 23 06:20:11 UTC 2025","tests.SetNewPasswordTest","Браузер Edge","tests.SetNewPasswordTest","testSwitchLanguage"
"Проверить, что можно выбрать интервал 'За сутки'","6563","testSelectFullDay","Мультибраузерное тестирование","Thu Oct 23 06:16:27 UTC 2025","broken","Thu Oct 23 06:16:34 UTC 2025","tests.TimeIntervalPannelTest","Браузер Chrome","tests.TimeIntervalPannelTest","testSelectFullDay"
"Попытка SQL-injection в поля логина/пароля не должна приводить к успешной аутентификации","1575","testSqlInjectionDoesNotBypassAuthentication","Мультибраузерное тестирование","Thu Oct 23 06:19:22 UTC 2025","passed","Thu Oct 23 06:19:23 UTC 2025","tests.SecuritySqlInjectionTest","Браузер Edge","tests.SecuritySqlInjectionTest","testSqlInjectionDoesNotBypassAuthentication"
"Проверить, что можно выбрать интервал 'За смену (8 часов)'","7836","testSelectWorkDay","Мультибраузерное тестирование","Thu Oct 23 06:21:41 UTC 2025","passed","Thu Oct 23 06:21:49 UTC 2025","tests.TimeIntervalPannelTest","Браузер Edge","tests.TimeIntervalPannelTest","testSelectWorkDay"
"Переключение языка на форме смены пароля","1842","testSwitchLanguage","Мультибраузерное тестирование","Thu Oct 23 06:15:41 UTC 2025","passed","Thu Oct 23 06:15:43 UTC 2025","tests.SetNewPasswordTest","Браузер Chrome","tests.SetNewPasswordTest","testSwitchLanguage"
"Клик по лого на странице Login","237","testClickLogo","Мультибраузерное тестирование","Thu Oct 23 06:13:59 UTC 2025","passed","Thu Oct 23 06:14:00 UTC 2025","tests.AuthLoginTest","Браузер Chrome","tests.AuthLoginTest","testClickLogo"
"Проверить, что можно выбрать интервал 'За выбранный интервал'","6618","testSelectCustomRange","Мультибраузерное тестирование","Thu Oct 23 06:20:39 UTC 2025","broken","Thu Oct 23 06:20:45 UTC 2025","tests.TimeIntervalPannelTest","Браузер Edge","tests.TimeIntervalPannelTest","testSelectCustomRange"
"Проверить, что можно выбрать интервал 'За неделю'","6541","testSelectWeek","Мультибраузерное тестирование","Thu Oct 23 06:21:26 UTC 2025","broken","Thu Oct 23 06:21:32 UTC 2025","tests.TimeIntervalPannelTest","Браузер Edge","tests.TimeIntervalPannelTest","testSelectWeek"
"Вход с пустыми полями логина и пароля","1457","testLoginWithEmptyUsernameAndPassword","Мультибраузерное тестирование","Thu Oct 23 06:23:02 UTC 2025","passed","Thu Oct 23 06:23:03 UTC 2025","tests.AuthLoginTest","Браузер Yandex","tests.AuthLoginTest","testLoginWithEmptyUsernameAndPassword"
"Отображение подсказки под полем 'Текущий пароль' в форме смены пароля","323","testHelperCurrentPassword","Мультибраузерное тестирование","Thu Oct 23 06:15:33 UTC 2025","passed","Thu Oct 23 06:15:33 UTC 2025","tests.SetNewPasswordTest","Браузер Chrome","tests.SetNewPasswordTest","testHelperCurrentPassword"
"Проверить, что можно выбрать интервал 'За выбранный интервал'","6538","testSelectCustomRange","Мультибраузерное тестирование","Thu Oct 23 06:24:44 UTC 2025","broken","Thu Oct 23 06:24:51 UTC 2025","tests.TimeIntervalPannelTest","Браузер Yandex","tests.TimeIntervalPannelTest","testSelectCustomRange"
"Попытка SQL-injection в поля логина/пароля не должна приводить к успешной аутентификации","1552","testSqlInjectionDoesNotBypassAuthentication","Мультибраузерное тестирование","Thu Oct 23 06:23:34 UTC 2025","passed","Thu Oct 23 06:23:35 UTC 2025","tests.SecuritySqlInjectionTest","Браузер Yandex","tests.SecuritySqlInjectionTest","testSqlInjectionDoesNotBypassAuthentication"
"Отображение подсказки под полем 'Текущий пароль' в форме смены пароля","333","testHelperCurrentPassword","Мультибраузерное тестирование","Thu Oct 23 06:24:06 UTC 2025","passed","Thu Oct 23 06:24:06 UTC 2025","tests.SetNewPasswordTest","Браузер Yandex","tests.SetNewPasswordTest","testHelperCurrentPassword"
"Проверить, что по умолчанию указывается временной интервал 'За смену (8 часов)'","1536","testDefaultTimeIntervalIsWorkDay","Мультибраузерное тестирование","Thu Oct 23 06:15:51 UTC 2025","passed","Thu Oct 23 06:15:52 UTC 2025","tests.TimeIntervalPannelTest","Браузер Chrome","tests.TimeIntervalPannelTest","testDefaultTimeIntervalIsWorkDay"
"Вход с валидными логином и паролем","1011","testLoginWithValidUsernameAndPassword","Мультибраузерное тестирование","Thu Oct 23 06:19:00 UTC 2025","passed","Thu Oct 23 06:19:01 UTC 2025","tests.AuthLoginTest","Браузер Edge","tests.AuthLoginTest","testLoginWithValidUsernameAndPassword"
"Вход с валидными логином и паролем","1000","testLoginWithValidUsernameAndPassword","Мультибраузерное тестирование","Thu Oct 23 06:23:12 UTC 2025","passed","Thu Oct 23 06:23:13 UTC 2025","tests.AuthLoginTest","Браузер Yandex","tests.AuthLoginTest","testLoginWithValidUsernameAndPassword"
