"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Вход с пустыми полями логина и пароля","426","testLoginWithEmptyUsernameAndPassword","Мультибраузерное тестирование","Wed Oct 15 07:45:37 UTC 2025","passed","Wed Oct 15 07:45:38 UTC 2025","tests.TestAuthLogin","Браузер Yandex","tests.TestAuthLogin","testLoginWithEmptyUsernameAndPassword"
"Переход по кнопке 'Сменить пароль'","287","testClickChangePasswordButton","Мультибраузерное тестирование","Wed Oct 15 07:45:05 UTC 2025","passed","Wed Oct 15 07:45:05 UTC 2025","tests.TestAuthLogin","Браузер Yandex","tests.TestAuthLogin","testClickChangePasswordButton"
"Проверка видимости пароля (иконка 'глаз') на странице Login","2702","testCheckingPasswordVisibility","Мультибраузерное тестирование","Wed Oct 15 07:44:54 UTC 2025","passed","Wed Oct 15 07:44:57 UTC 2025","tests.TestAuthLogin","Браузер Yandex","tests.TestAuthLogin","testCheckingPasswordVisibility"
"Переход по кнопке 'Сменить пароль'","286","testClickChangePasswordButton","Мультибраузерное тестирование","Wed Oct 15 07:43:50 UTC 2025","passed","Wed Oct 15 07:43:50 UTC 2025","tests.TestAuthLogin","Браузер Edge","tests.TestAuthLogin","testClickChangePasswordButton"
"Ввод неверного логина или пароля","616","testEnterIncorrectLoginOrPassword","Мультибраузерное тестирование","Wed Oct 15 07:42:50 UTC 2025","passed","Wed Oct 15 07:42:51 UTC 2025","tests.TestAuthLogin","Браузер Chrome","tests.TestAuthLogin","testEnterIncorrectLoginOrPassword"
"Переключения языка (RU/EN)","1921","testSwitchLanguage","Мультибраузерное тестирование","Wed Oct 15 07:43:27 UTC 2025","broken","Wed Oct 15 07:43:29 UTC 2025","tests.TestAuthLogin","Браузер Chrome","tests.TestAuthLogin","testSwitchLanguage"
"Вход с валидными логином и паролем","872","testLoginWithValidUsernameAndPassword","Мультибраузерное тестирование","Wed Oct 15 07:43:14 UTC 2025","passed","Wed Oct 15 07:43:15 UTC 2025","tests.TestAuthLogin","Браузер Chrome","tests.TestAuthLogin","testLoginWithValidUsernameAndPassword"
"Вход с пустыми полями логина и пароля","456","testLoginWithEmptyUsernameAndPassword","Мультибраузерное тестирование","Wed Oct 15 07:44:25 UTC 2025","passed","Wed Oct 15 07:44:25 UTC 2025","tests.TestAuthLogin","Браузер Edge","tests.TestAuthLogin","testLoginWithEmptyUsernameAndPassword"
"Введенные данные сохраняются в значение поля","406","testEnteredDataSavedFieldValue","Мультибраузерное тестирование","Wed Oct 15 07:42:57 UTC 2025","passed","Wed Oct 15 07:42:58 UTC 2025","tests.TestAuthLogin","Браузер Chrome","tests.TestAuthLogin","testEnteredDataSavedFieldValue"
"Ввод неверного логина или пароля","615","testEnterIncorrectLoginOrPassword","Мультибраузерное тестирование","Wed Oct 15 07:45:22 UTC 2025","passed","Wed Oct 15 07:45:23 UTC 2025","tests.TestAuthLogin","Браузер Yandex","tests.TestAuthLogin","testEnterIncorrectLoginOrPassword"
"Введенные данные сохраняются в значение поля","420","testEnteredDataSavedFieldValue","Мультибраузерное тестирование","Wed Oct 15 07:44:16 UTC 2025","passed","Wed Oct 15 07:44:16 UTC 2025","tests.TestAuthLogin","Браузер Edge","tests.TestAuthLogin","testEnteredDataSavedFieldValue"
"Клик по лого на странице Login","191","testClickLogo","Мультибраузерное тестирование","Wed Oct 15 07:42:41 UTC 2025","passed","Wed Oct 15 07:42:41 UTC 2025","tests.TestAuthLogin","Браузер Chrome","tests.TestAuthLogin","testClickLogo"
"Клик по лого на странице Login","181","testClickLogo","Мультибраузерное тестирование","Wed Oct 15 07:45:13 UTC 2025","passed","Wed Oct 15 07:45:13 UTC 2025","tests.TestAuthLogin","Браузер Yandex","tests.TestAuthLogin","testClickLogo"
